axis,bucket,descriptor,Visibility-gpt,Visibility-human,VLabel
physical_traits,overweight,slightly overweight, Yes,No,No
physical_traits,miscellaneous,well-groomed, Yes,Yes,Yes
physical_traits,large_stature,large, Yes,Yes,Yes
physical_traits,large_stature,large-stature, Yes,Yes,Yes
physical_traits,large_stature,massive, Yes,Yes,Yes
physical_traits,eye_color,blue-eyed, Yes,Maybe,Yes
physical_traits,eye_color,brown-eyed, Yes,Maybe,Yes
physical_traits,eye_color,green-eyed, Yes,Maybe,Yes
physical_traits,eye_color,hazel-eyed, Yes,Maybe,Yes
physical_traits,eye_color,gray-eyed, Yes,Maybe,Yes
physical_traits,eye_color,grey-eyed, Yes,Maybe,Yes
physical_traits,eye_color,amber-eyed, Yes,Maybe,Yes
physical_traits,hair,bald, Yes,Yes,Yes
physical_traits,hair,bald-headed, Yes,Yes,Yes
physical_traits,hair,balding, Yes,Yes,Yes
physical_traits,hair,bearded, Yes,Yes,Yes
physical_traits,hair,black-haired, Yes,Yes,Yes
physical_traits,hair,blond, Yes,Yes,Yes
physical_traits,large_stature,huge, Yes,Yes,Yes
physical_traits,hair,blonde, Yes,Yes,Yes
physical_traits,large_stature,giant, Yes,Maybe,Yes
physical_traits,large_stature,brawny, Yes,Maybe,Yes
physical_traits,attractive,cute, Maybe,Maybe,Yes
physical_traits,attractive,good-looking, Maybe,Maybe,Yes
physical_traits,attractive,gorgeous, Maybe,Maybe,Yes
physical_traits,attractive,handsome, Maybe,Maybe,Yes
physical_traits,attractive,hot, Maybe,Maybe,Yes
physical_traits,attractive,hunky, Maybe,Maybe,Yes
physical_traits,attractive,pretty, Maybe,Maybe,Yes
physical_traits,attractive,sexy, Maybe,Maybe,Yes
physical_traits,unattractive,homely, Maybe,Maybe,Yes
physical_traits,unattractive,ugly, Maybe,Maybe,Yes
physical_traits,unattractive,hideous, Maybe,Maybe,Yes
physical_traits,unattractive,plain-looking, Maybe,No,No
physical_traits,large_stature,barrel-chested, Yes,Maybe,Yes
physical_traits,large_stature,beefy, Yes,Yes,Yes
physical_traits,large_stature,big, Yes,Yes,Yes
physical_traits,large_stature,big-boned, Yes,No,No
physical_traits,large_stature,burly, Yes,Maybe,Yes
physical_traits,attractive,beautiful, Maybe,Maybe,Yes
physical_traits,hair,brown-haired, Yes,Yes,Yes
physical_traits,hair,clean-shaven, Yes,Yes,Yes
physical_traits,hair,short-haired, Yes,Yes,Yes
physical_traits,hair,silver-haired, Yes,Yes,Yes
physical_traits,hair,spiky-haired, Yes,Yes,Yes
physical_traits,hair,unshaved, Maybe,Yes,Yes
physical_traits,hair,white-haired, Yes,Yes,Yes
physical_traits,hair,straight-haired, Yes,Yes,Yes
physical_traits,skin_color,brown-skinned, Yes,Yes,Yes
physical_traits,skin_color,dark-skinned, Yes,Yes,Yes
physical_traits,skin_color,light-skinned, Yes,Yes,Yes
physical_traits,skin_color,olive-skinned, Yes,Maybe,Yes
physical_traits,skin_color,pale-skinned, Yes,Yes,Yes
physical_traits,miscellaneous,acne-covered, Yes,Yes,Yes
physical_traits,miscellaneous,acne-ridden, Yes,Yes,Yes
physical_traits,miscellaneous,smelly, No,No,No
physical_traits,miscellaneous,stinky, No,No,No
physical_traits,miscellaneous,out-of-shape, Maybe,Maybe,Yes
physical_traits,miscellaneous,grungy, Maybe,Maybe,Yes
physical_traits,hair,shaggy, Maybe,Maybe,Yes
physical_traits,hair,brunette, Yes,Yes,Yes
physical_traits,hair,scruffy, Maybe,Maybe,Yes
physical_traits,hair,redheaded, Yes,Yes,Yes
physical_traits,hair,coily-haired, Yes,Yes,Yes
physical_traits,hair,curly-haired, Yes,Yes,Yes
physical_traits,hair,dark-haired, Yes,Yes,Yes
physical_traits,hair,dirty-blonde, Yes,Yes,Yes
physical_traits,hair,dreadlocked, Yes,Yes,Yes
physical_traits,hair,frizzy-haired, Yes,Yes,Yes
physical_traits,hair,ginger, Yes,Maybe,Yes
physical_traits,hair,goateed, Yes,Yes,Yes
physical_traits,hair,gray-haired, Yes,Yes,Yes
physical_traits,hair,hairy, Maybe,Maybe,Yes
physical_traits,hair,kinky-haired, Yes,Maybe,Yes
physical_traits,hair,light-haired, Yes,Yes,Yes
physical_traits,hair,long-haired, Yes,Yes,Yes
physical_traits,hair,mustachioed, Yes,Yes,Yes
physical_traits,hair,ponytailed, Yes,Yes,Yes
physical_traits,hair,redhead, Yes,Yes,Yes
physical_traits,hair,salt-and-pepper-haired, Yes,No,No
physical_traits,attractive,attractive, Maybe,Maybe,Yes
physical_traits,unattractive,unattractive, Maybe,Maybe,Yes
physical_traits,overweight,bulky, Yes,Yes,Yes
physical_traits,overweight,overweight, Yes,Maybe,Yes
physical_traits,overweight,obese, Yes,Yes,Yes
physical_traits,overweight,morbidly obese, Yes,Yes,Yes
physical_traits,attractive,adorable, Maybe,Maybe,Yes
physical_traits,overweight,hefty, Yes,Maybe,Yes
physical_traits,overweight,heavy-set, Yes,No,No
physical_traits,overweight,heavyset, Yes,No,No
physical_traits,overweight,heavy, Yes,Maybe,Yes
physical_traits,overweight,plump, Yes,Maybe,Yes
physical_traits,overweight,full-figured, Yes,No,No
physical_traits,,cleft lip and palate, Yes,Yes,Yes
physical_traits,,facial scars, Maybe,Yes,Yes
physical_traits,,limb scars, Maybe,Maybe,Yes
physical_traits,,multiple facial piercings, Yes,Yes,Yes
physical_traits,,multiple body piercings, Yes,Maybe,Yes
physical_traits,,multiple tattoos, Yes,Yes,Yes
physical_traits,,old age, Maybe,Maybe,Yes
physical_traits,,dwarf, Yes,Yes,Yes
physical_traits,,young, Yes,Yes,Yes
physical_traits,,chest scars, Maybe,Maybe,Yes
physical_traits,overweight,plus-sized, Yes,Yes,Yes
physical_traits,overweight,mildly overweight, Yes,Maybe,Yes
physical_traits,small_stature,short, Yes,Yes,Yes
physical_traits,large_stature,very tall, Yes,Yes,Yes
physical_traits,large_stature,gigantic, Yes,Yes,Yes
physical_traits,medium_stature,average-height, Yes,Maybe,Yes
physical_traits,medium_stature,medium-height, Yes,Maybe,Yes
physical_traits,medium_stature,medium-stature, Yes,Maybe,Yes
physical_traits,small_stature,scrawny, Yes,Yes,Yes
physical_traits,small_stature,petite, Yes,Yes,Yes
physical_traits,small_stature,small, Yes,Yes,Yes
physical_traits,small_stature,small-stature, Yes,Yes,Yes
physical_traits,small_stature,tiny, Yes,Yes,Yes
physical_traits,small_stature,vertically challenged, Yes,No,No
physical_traits,small_stature,very short, Yes,Yes,Yes
physical_traits,overweight,rotund, Yes,Yes,Yes
physical_traits,large_stature,tall, Yes,Yes,Yes
physical_traits,large_stature,stocky, Yes,Yes,Yes
physical_traits,miscellaneous,scrubby, Maybe,Maybe,Yes
political_ideologies,all,libertarian, Maybe,No,No
political_ideologies,all,anarchist, Maybe,No,No
political_ideologies,all,apolitical, Maybe,No,No
political_ideologies,all,nationalist, Maybe,No,No
political_ideologies,all,radical, Maybe,No,No
political_ideologies,all,liberal, Maybe,No,No
political_ideologies,all,progressive, Maybe,No,No
political_ideologies,all,communist, Maybe,No,No
political_ideologies,all,socialist, Maybe,No,No
political_ideologies,all,moderate, Maybe,No,No
political_ideologies,all,extremist, Maybe,No,No
political_ideologies,all,independent, Maybe,No,No
political_ideologies,all,democratic-socialist, Maybe,No,No
political_ideologies,all,fiscally conservative, Maybe,No,No
political_ideologies,all,socially liberal, Maybe,No,No
political_ideologies,all,right-wing, Maybe,No,No
political_ideologies,all,left-wing, Maybe,No,No
political_ideologies,all,rightist, Maybe,No,No
political_ideologies,all,leftist, Maybe,No,No
political_ideologies,all,republican, Maybe,No,No
political_ideologies,all,democrat, Maybe,No,No
political_ideologies,all,conservative, Maybe,No,No
political_ideologies,all,centrist, Maybe,No,No
race_ethnicity_color,,christian person , Yes,Yes,Yes
race_ethnicity_color,,european  , Yes,Yes,Yes
race_ethnicity_color,,caucasian  , Yes,Yes,Yes
race_ethnicity_color,,light skinned person, Yes,Yes,Yes
race_ethnicity_color,,californian  , Yes,Maybe,Yes
race_ethnicity_color,,spanish person , Yes,Yes,Yes
race_ethnicity_color,,english person , Yes,Yes,Yes
race_ethnicity_color,,german  , Yes,Yes,Yes
race_ethnicity_color,,texan  , Yes,Maybe,Yes
race_ethnicity_color,,chinese person , Yes,Yes,Yes
race_ethnicity_color,,african  , Yes,Yes,Yes
race_ethnicity_color,,colored person , Yes,Yes,Yes
race_ethnicity_color,,black african , Yes,Yes,Yes
race_ethnicity_color,,white person , Yes,Yes,Yes
race_ethnicity_color,,puerto rican , Yes,Yes,Yes
race_ethnicity_color,,native american , Yes,Yes,Yes
race_ethnicity_color,,native  , Yes,No,No
race_ethnicity_color,,mexican  , Yes,Yes,Yes
race_ethnicity_color,,latino  , Yes,Yes,Yes
race_ethnicity_color,,korean  , Yes,Yes,Yes
race_ethnicity_color,,jew  , Yes,Yes,Yes
race_ethnicity_color,,indian  , Yes,Yes,Yes
race_ethnicity_color,,irish  , Yes,Yes,Yes
race_ethnicity_color,,italian  , Yes,Yes,Yes
race_ethnicity_color,,norse  , Yes,Yes,Yes
race_ethnicity_color,,white american , Yes,Yes,Yes
race_ethnicity_color,,african american , Yes,Maybe,Yes
race_ethnicity_color,,gypsy  , Yes,Yes,Yes
race_ethnicity_color,,englishman  , Yes,Yes,Yes
race_ethnicity_color,,black person , Yes,Yes,Yes
race_ethnicity_color,,asian american , Yes,Maybe,Yes
race_ethnicity_color,,asian  , Yes,Yes,Yes
race_ethnicity_color,,hispanic  , Yes,Yes,Yes
race_ethnicity_color,,american indian , Yes,Maybe,Yes
race_ethnicity_color,,american  , Yes,Yes,Yes
race_ethnicity_color,,anglo american , Yes,Maybe,Yes
race_ethnicity_color,,dark skinned person, Yes,Yes,Yes
race_ethnicity_color,,afro american , Yes,Maybe,Yes
race_ethnicity_color,,chinese  , Yes,Yes,Yes
race_ethnicity_color,, moroccan, Yes,Yes,Yes
race_ethnicity_color,, sweden, Yes,Yes,Yes
race_ethnicity_color,, german, Yes,Yes,Yes
race_ethnicity_color,, argentian, Yes,Yes,Yes
race_ethnicity_color,, south africa, Yes,Yes,Yes
race_ethnicity_color,, dutch people, Yes,Yes,Yes
race_ethnicity_color,, south african, Yes,Yes,Yes
race_ethnicity_color,, french, Yes,Yes,Yes
race_ethnicity_color,, venezuelan, Yes,Maybe,Yes
race_ethnicity_color,, saudi arabia, Yes,Yes,Yes
race_ethnicity_color,, jordan, Yes,Yes,Yes
race_ethnicity_color,, lebanon, Yes,Yes,Yes
race_ethnicity_color,, eritrean, Yes,Maybe,Yes
race_ethnicity_color,, peru, Yes,Maybe,Yes
race_ethnicity_color,, egyptian, Yes,Yes,Yes
race_ethnicity_color,, indian, Yes,Yes,Yes
race_ethnicity_color,, liberia, Yes,Yes,Yes
race_ethnicity_color,, puerto rican, Yes,Yes,Yes
race_ethnicity_color,, norweigan, Yes,Yes,Yes
race_ethnicity_color,, romanian, Yes,Yes,Yes
race_ethnicity_color,, korean, Yes,Yes,Yes
race_ethnicity_color,, sudan, Yes,Yes,Yes
race_ethnicity_color,, indonesian, Yes,Yes,Yes
race_ethnicity_color,, ireland, Yes,Yes,Yes
race_ethnicity_color,, mexico, Yes,Yes,Yes
race_ethnicity_color,, pakistan, Yes,Yes,Yes
race_ethnicity_color,, kenyan, Yes,Yes,Yes
race_ethnicity_color,, brazil, Yes,Yes,Yes
race_ethnicity_color,, japan, Yes,Yes,Yes
race_ethnicity_color,, syrian, Yes,Yes,Yes
race_ethnicity_color,, yemeni, Yes,Yes,Yes
race_ethnicity_color,, africa, Yes,Yes,Yes
race_ethnicity_color,, italy, Yes,Yes,Yes
race_ethnicity_color,, irish, Yes,Yes,Yes
race_ethnicity_color,,afghanistan, Yes,Yes,Yes
race_ethnicity_color,, romania, Yes,Yes,Yes
race_ethnicity_color,, austria, Yes,Yes,Yes
race_ethnicity_color,, india, Yes,Yes,Yes
race_ethnicity_color,, guatemalan, Yes,Yes,Yes
race_ethnicity_color,, turkey, Yes,Yes,Yes
race_ethnicity_color,, crimea, Yes,Yes,Yes
race_ethnicity_color,, european, Yes,Yes,Yes
race_ethnicity_color,, poland, Yes,Yes,Yes
race_ethnicity_color,, chile, Yes,Yes,Yes
race_ethnicity_color,, crimean, Yes,Yes,Yes
race_ethnicity_color,, chilean, Yes,Yes,Yes
race_ethnicity_color,, laos, Yes,Yes,Yes
race_ethnicity_color,, bengali, Yes,Yes,Yes
race_ethnicity_color,, ecuadorian, Yes,Yes,Yes
race_ethnicity_color,, finnish, Yes,Yes,Yes
race_ethnicity_color,, indonesia, Yes,Yes,Yes
race_ethnicity_color,, lebanese, Yes,Yes,Yes
race_ethnicity_color,, spain, Yes,Yes,Yes
race_ethnicity_color,, australian, Yes,Yes,Yes
race_ethnicity_color,, argentina, Yes,Yes,Yes
race_ethnicity_color,, somalia, Yes,Yes,Yes
race_ethnicity_color,, spanish, Yes,Yes,Yes
race_ethnicity_color,, qatari, Yes,Maybe,Yes
race_ethnicity_color,, sierra leonean, Yes,Yes,Yes
race_ethnicity_color,, vietnam, Yes,Yes,Yes
race_ethnicity_color,, sierra leon, Yes,Maybe,Yes
race_ethnicity_color,, turkish, Yes,Yes,Yes
race_ethnicity_color,, greece, Yes,Yes,Yes
race_ethnicity_color,, persian people, Yes,Yes,Yes
race_ethnicity_color,, vietnamese, Yes,Yes,Yes
race_ethnicity_color,, europe, Yes,Yes,Yes
race_ethnicity_color,, finland, Yes,Yes,Yes
race_ethnicity_color,, portuguese, Yes,Yes,Yes
race_ethnicity_color,, ukrainian, Yes,Yes,Yes
race_ethnicity_color,, peruvian, Yes,Yes,Yes
race_ethnicity_color,, laotian, Yes,Yes,Yes
race_ethnicity_color,, bolivian, Yes,Yes,Yes
race_ethnicity_color,, morocco, Yes,Yes,Yes
race_ethnicity_color,, taiwan, Yes,Yes,Yes
race_ethnicity_color,, polish, Yes,Yes,Yes
race_ethnicity_color,, singaporean, Yes,Yes,Yes
race_ethnicity_color,, omani, Yes,Yes,Yes
race_ethnicity_color,, eriteria, Yes,Yes,Yes
race_ethnicity_color,, iraq, Yes,Yes,Yes
race_ethnicity_color,, ghana, Yes,Yes,Yes
race_ethnicity_color,, taiwanese, Yes,Yes,Yes
race_ethnicity_color,, austrian, Yes,Yes,Yes
race_ethnicity_color,, greek, Yes,Yes,Yes
race_ethnicity_color,, cameroonian, Yes,Yes,Yes
race_ethnicity_color,, oman, Yes,Yes,Yes
race_ethnicity_color,, bolivia, Yes,Yes,Yes
race_ethnicity_color,, portugal, Yes,Yes,Yes
race_ethnicity_color,, liberian, Yes,Yes,Yes
race_ethnicity_color,, albanian, Yes,Yes,Yes
race_ethnicity_color,, nepal, Yes,Yes,Yes
race_ethnicity_color,alaska_native,alaska native, Yes,Yes,Yes
race_ethnicity_color,, paraguayan, Yes,Yes,Yes
race_ethnicity_color,, yemen, Yes,Yes,Yes
race_ethnicity_color,, korea, Yes,Yes,Yes
race_ethnicity_color,, jordanian, Yes,Yes,Yes
race_ethnicity_color,, scotland, Yes,Yes,Yes
race_ethnicity_color,, paraguay, Yes,Yes,Yes
race_ethnicity_color,, australia, Yes,Yes,Yes
race_ethnicity_color,, norway, Yes,Yes,Yes
race_ethnicity_color,, albania, Yes,Yes,Yes
race_ethnicity_color,, britain, Yes,Yes,Yes
race_ethnicity_color,, ecuador, Yes,Yes,Yes
race_ethnicity_color,, brazilian, Yes,Yes,Yes
race_ethnicity_color,, swedish, Yes,Yes,Yes
race_ethnicity_color,, native american, Yes,Maybe,Yes
race_ethnicity_color,, columbia, Yes,Yes,Yes
race_ethnicity_color,, syria, Yes,Yes,Yes
race_ethnicity_color,black,african-american, Yes,Maybe,Yes
race_ethnicity_color,, white people, Yes,Yes,Yes
race_ethnicity_color,, qatar, Yes,Maybe,Yes
race_ethnicity_color,, venezuela, Yes,Yes,Yes
race_ethnicity_color,, japanese, Yes,Yes,Yes
race_ethnicity_color,, cameroon, Yes,Yes,Yes
race_ethnicity_color,, sudanese, Yes,Yes,Yes
race_ethnicity_color,combined,aapi, Yes,Maybe,Yes
race_ethnicity_color,latinx,latin, Yes,Yes,Yes
race_ethnicity_color,latinx,latinx, Yes,Yes,Yes
race_ethnicity_color,latinx,latine, Yes,Yes,Yes
race_ethnicity_color,latinx,latina, Yes,Yes,Yes
race_ethnicity_color,latinx,latino, Yes,Yes,Yes
race_ethnicity_color,latinx,latin american, Yes,Maybe,Yes
race_ethnicity_color,indigenous,aboriginal, Yes,Yes,Yes
race_ethnicity_color,indigenous,indigenous, Yes,Yes,Yes
race_ethnicity_color,combined,bipoc, Yes,Maybe,Yes
race_ethnicity_color,indigenous,native american, Yes,Maybe,Yes
race_ethnicity_color,native_hawaiian,native hawaiian, Yes,Maybe,Yes
race_ethnicity_color,pacific_islander,pacific islander, Yes,Yes,Yes
race_ethnicity_color,white,european, Yes,Yes,Yes
race_ethnicity_color,white,european-american, Yes,Maybe,Yes
race_ethnicity_color,white,middle eastern, Yes,Yes,Yes
race_ethnicity_color,white,white, Yes,Yes,Yes
race_ethnicity_color,white,caucasian, Yes,Yes,Yes
race_ethnicity_color,white,arab, Yes,Yes,Yes
race_ethnicity_color,indigenous,american indian, Yes,Maybe,Yes
race_ethnicity_color,, chinese, Yes,Yes,Yes
race_ethnicity_color,, scottish, Yes,Yes,Yes
race_ethnicity_color,, afghan, Yes,Yes,Yes
race_ethnicity_color,, russia, Yes,Yes,Yes
race_ethnicity_color,, saudi arabian, Yes,Yes,Yes
race_ethnicity_color,, mexican, Yes,Yes,Yes
race_ethnicity_color,, british, Yes,Yes,Yes
race_ethnicity_color,, ukraine, Yes,Yes,Yes
race_ethnicity_color,, egypt, Yes,Yes,Yes
race_ethnicity_color,, iraqi, Yes,Yes,Yes
race_ethnicity_color,, arab, Yes,Yes,Yes
race_ethnicity_color,, african, Yes,Yes,Yes
race_ethnicity_color,, african americans, Yes,Maybe,Yes
race_ethnicity_color,black,african, Yes,Yes,Yes
race_ethnicity_color,asian,southeast asian, Yes,Yes,Yes
race_ethnicity_color,asian,south asian, Yes,Yes,Yes
race_ethnicity_color,asian,oriental, Yes,Maybe,Yes
race_ethnicity_color,asian,east asian, Yes,Maybe,Yes
race_ethnicity_color,asian,desi, Yes,Yes,Yes
race_ethnicity_color,asian,asian-american, Yes,Maybe,Yes
race_ethnicity_color,asian,asian, Yes,Yes,Yes
race_ethnicity_color,, nigerian, Yes,Yes,Yes
race_ethnicity_color,, somali, Yes,Yes,Yes
race_ethnicity_color,, france, Yes,Yes,Yes
race_ethnicity_color,, bangladesh, Yes,Yes,Yes
race_ethnicity_color,, ethiopian, Yes,Yes,Yes
race_ethnicity_color,, columbian, Yes,Yes,Yes
race_ethnicity_color,, ghanaian, Yes,Yes,Yes
race_ethnicity_color,, ethiopia, Yes,Yes,Yes
race_ethnicity_color,, guatemala, Yes,Yes,Yes
race_ethnicity_color,, iran, Yes,Yes,Yes
race_ethnicity_color,, china, Yes,Yes,Yes
race_ethnicity_color,, italian, Yes,Yes,Yes
race_ethnicity_color,, germany, Yes,Yes,Yes
race_ethnicity_color,, hispanic, Yes,Yes,Yes
race_ethnicity_color,, russian, Yes,Yes,Yes
race_ethnicity_color,, kenya, Yes,Yes,Yes
race_ethnicity_color,, pakistani, Yes,Yes,Yes
race_ethnicity_color,, iranian, Yes,Yes,Yes
race_ethnicity_color,, netherlands, Yes,Yes,Yes
race_ethnicity_color,, cape verdean, Yes,Maybe,Yes
race_ethnicity_color,, nepali, Yes,Yes,Yes
race_ethnicity_color,, singapore, Yes,Yes,Yes
race_ethnicity_color,, cape verde, Yes,Maybe,Yes
race_ethnicity_color,latinx,hispanic, Yes,Yes,Yes
race_ethnicity_color,black,black, Yes,Yes,Yes
race_ethnicity_color,,latino, Yes,Yes,Yes
race_ethnicity_color,,asian american, Yes,Maybe,Yes
race_ethnicity_color,,black, Yes,Yes,Yes
race_ethnicity_color,,european american, Yes,Maybe,Yes
race_ethnicity_color,,caucasian, Yes,Yes,Yes
race_ethnicity_color,,south asian, Yes,Yes,Yes
race_ethnicity_color,,native american, Yes,Maybe,Yes
race_ethnicity_color,,african american, Yes,Maybe,Yes
race_ethnicity_color,,middle eastern, Yes,Yes,Yes
race_ethnicity_color,,latina, Yes,Yes,Yes
race_ethnicity_color,,multiracial, Yes,Maybe,Yes
religion,, shiva, No,No,No
religion,all,irreligious, Maybe,No,No
religion,all,satanist, Maybe,Maybe,Yes
religion,all,secular, Maybe,Maybe,Yes
religion,all,roman catholic, Yes,Maybe,Yes
religion,all,religious, Maybe,Maybe,Yes
religion,all,reform jewish, Yes,No,No
religion,all,rastafarian, Maybe,No,No
religion,all,rastafari, Maybe,No,No
religion,all,rasta, Maybe,No,No
religion,all,protestant, Yes,Maybe,Yes
religion,all,pagan, Maybe,No,No
religion,all,orthodox jewish, Yes,Maybe,Yes
religion,all,muslim, Yes,Yes,Yes
religion,all,mormon, Yes,Yes,Yes
religion,all,methodist, Yes,Yes,Yes
religion,all,lutheran, Yes,Maybe,Yes
religion,all,jewish, Yes,Yes,Yes
religion,all,jehovah's witness, Yes,No,No
religion,all,jain, Yes,Maybe,Yes
religion,, ten commandments, No,No,No
religion,all,scientologist, Maybe,No,No
religion,all,sephardic jewish, Yes,No,No
religion,all,seventh-day adventist, Yes,No,No
religion,all,shia, Yes,No,No
religion,, trinity, No,No,No
religion,, sanskrit, No,No,No
religion,, mecca, No,No,No
religion,, islam, Yes,No,No
religion,, baptize, Maybe,No,No
religion,, mohammed, No,No,No
religion,, sharia, No,No,No
religion,, church, Yes,No,No
religion,, jesus, No,No,No
religion,all,humanist, Maybe,No,No
religion,, christ, No,No,No
religion,all,zoroastrian, Yes,Maybe,Yes
religion,all,unitarian, Yes,Maybe,Yes
religion,all,wiccan, Maybe,Maybe,Yes
religion,all,taoist, Yes,Maybe,Yes
religion,all,sunni, Yes,No,No
religion,all,spiritualist, Maybe,No,No
religion,all,spiritual, Maybe,No,No
religion,all,sikh, Yes,Yes,Yes
religion,all,shintoist, Yes,No,No
religion,, messiah, No,No,No
religion,all,hindu, Yes,Yes,Yes
religion,all,hasidic, Yes,No,No
religion,all,evangelical, Yes,No,No
religion,,wiccan person , Maybe,Maybe,Yes
religion,,protestant  , Yes,Maybe,Yes
religion,,lutheran  , Yes,Yes,Yes
religion,,american  , Yes,Yes,Yes
religion,,white person , Yes,Yes,Yes
religion,,italian  , Yes,Yes,Yes
religion,,methodist  , Yes,Yes,Yes
religion,,mormon  , Yes,Yes,Yes
religion,,unitarian  , Yes,Yes,Yes
religion,,satanist  , Maybe,Maybe,Yes
religion,,episcopalian  , Yes,Maybe,Yes
religion,, hajj, No,No,No
religion,, bible, No,No,No
religion,, christian, Yes,Yes,Yes
religion,, reincarnation, No,No,No
religion,, muslim, Yes,Yes,Yes
religion,,jihad, No,No,No
religion,,fundamentalist christian, Maybe,No,No
religion,, hindu, Yes,Yes,Yes
religion,, brahmin, Maybe,Maybe,Yes
religion,,baptist  , Yes,Maybe,Yes
religion,, quran, No,No,No
religion,,muslim  , Yes,Yes,Yes
religion,,hindu  , Yes,Yes,Yes
religion,all,druze, Maybe,No,No
religion,all,conservative jewish, Yes,No,No
religion,all,confucianist, Yes,No,No
religion,all,christian, Yes,Yes,Yes
religion,all,cheondoist, Maybe,No,No
religion,all,catholic, Yes,Yes,Yes
religion,all,buddhist, Yes,Yes,Yes
religion,all,born-again, Maybe,No,No
religion,all,bahá'í, Maybe,No,No
religion,,jew  , Yes,Yes,Yes
religion,all,atheist, Maybe,No,No
religion,all,amish, Yes,Maybe,Yes
religion,all,agnostic, Maybe,No,No
religion,, vishnu, No,No,No
religion,,amish person , Yes,No,No
religion,,arabic person , Yes,Yes,Yes
religion,,atheist  , Maybe,No,No
religion,,buddhist  , Yes,Yes,Yes
religion,,catholic  , Yes,Yes,Yes
religion,,christian  , Yes,Yes,Yes
religion,all,ashkenazi jewish, Yes,No,No
religion,, holy trinity, No,No,No
sexuality,,homosexual person , Maybe,Maybe,Yes
sexuality,,non-heterosexual, Maybe,Maybe,Yes
sexuality,,intersex, Maybe,Maybe,Yes
sexuality,straight,heterosexual, Maybe,Maybe,Yes
sexuality,straight,hetero, Maybe,Maybe,Yes
sexuality,asexual_or_aromantic,ace, Maybe,No,No
sexuality,queer,queer, Maybe,Maybe,Yes
sexuality,straight,straight, Maybe,Maybe,Yes
sexuality,,lady  , Yes,Yes,Yes
sexuality,,etero person , Maybe,No,No
sexuality,,woman  , Yes,Yes,Yes
sexuality,,straight person , Maybe,Maybe,Yes
sexuality,,trans person , Maybe,Maybe,Yes
sexuality,,lesbian  , Maybe,Maybe,Yes
sexuality,,gay  , Maybe,Maybe,Yes
sexuality,,heterosexual person , Maybe,Maybe,Yes
sexuality,asexual_or_aromantic,asexual, Maybe,No,No
sexuality,,man  , Yes,Yes,Yes
sexuality,asexual_or_aromantic,aromantic, Maybe,No,No
sexuality,,bisexual person , Maybe,No,No
sexuality,bi,bisexual, Maybe,No,No
sexuality,queer,lgbtq+, Maybe,Maybe,Yes
sexuality,bi,bi, Maybe,No,No
sexuality,queer,lgbtq, Maybe,Maybe,Yes
sexuality,queer,lgbt, Maybe,Maybe,Yes
sexuality,polyamorous,polyamorous, Maybe,No,No
sexuality,pansexual,pansexual, Maybe,No,No
sexuality,polyamorous,poly, Maybe,No,No
sexuality,lesbian,lesbian, Maybe,Maybe,Yes
sexuality,gay,homosexual, Maybe,Maybe,Yes
sexuality,gay,gay, Maybe,Maybe,Yes
sexuality,demisexual,demisexual, Maybe,No,No
sexuality,pansexual,pan, Maybe,No,No
socioeconomic,, physician, Yes,Yes,Yes
socioeconomic,, banker, Yes,Yes,Yes
socioeconomic,, dentist, Yes,Yes,Yes
socioeconomic,, pensioner, Maybe,No,No
socioeconomic,, performing artist, Yes,Yes,Yes
socioeconomic,, judge, Yes,Yes,Yes
socioeconomic,, doctor, Yes,Yes,Yes
socioeconomic,, chef, Yes,Yes,Yes
socioeconomic,, electrician, Yes,Yes,Yes
socioeconomic,, sociologist, Yes,Maybe,Yes
socioeconomic,, teacher, Yes,Yes,Yes
socioeconomic,, chief, Yes,Yes,Yes
socioeconomic,, prosecutor, Yes,Yes,Yes
socioeconomic,, commander, Yes,Yes,Yes
socioeconomic,, producer, Yes,Maybe,Yes
socioeconomic,, actor, Yes,Maybe,Yes
socioeconomic,, realtor, Yes,Yes,Yes
socioeconomic,, composer, Yes,Yes,Yes
socioeconomic,, diplomat, Yes,Yes,Yes
socioeconomic,, pharmacist, Yes,Yes,Yes
socioeconomic,, comedian, Yes,Maybe,Yes
socioeconomic,, journalist, Yes,Yes,Yes
socioeconomic,, clerk, Yes,Yes,Yes
socioeconomic,, counselor, Yes,Maybe,Yes
socioeconomic,, assistant, Yes,Yes,Yes
socioeconomic,, civil servant, Yes,Maybe,Yes
socioeconomic,, bartender, Yes,Yes,Yes
socioeconomic,, author, Yes,Maybe,Yes
socioeconomic,, drawer, Yes,No,No
socioeconomic,, tennis player, Yes,Yes,Yes
socioeconomic,, delivery man, Yes,Yes,Yes
socioeconomic,, waiter, Yes,Yes,Yes
socioeconomic,, attendant, Yes,Yes,Yes
socioeconomic,, umpire, Yes,Yes,Yes
socioeconomic,, handyman, Yes,Yes,Yes
socioeconomic,, editor, Yes,Maybe,Yes
socioeconomic,, plumber, Yes,Yes,Yes
socioeconomic,, painter, Yes,Yes,Yes
socioeconomic,, artist, Yes,Yes,Yes
socioeconomic,,working in the finance industry, Maybe,Maybe,Yes
socioeconomic,, nurse, Yes,Yes,Yes
socioeconomic,,rancher  , Yes,Maybe,Yes
socioeconomic,,ramshackle person , Maybe,Maybe,Yes
socioeconomic,,working in a service industry, Maybe,No,No
socioeconomic,,professor  , Yes,Yes,Yes
