axis,bucket,descriptor
race_race_ethnicity_color_color,,caucasian
race_race_ethnicity_color_color,,south asian
race_race_ethnicity_color_color,,native american
race_race_ethnicity_color_color,,african american
race_race_ethnicity_color_color,,middle eastern
race_race_ethnicity_color_color,,latina
race_race_ethnicity_color_color,,multiracial
religion,, shiva
religion,all,irreligious
religion,all,satanist
religion,all,secular
religion,all,roman catholic
religion,all,religious
religion,all,reform jewish
religion,all,rastafarian
religion,all,rastafari
religion,all,rasta
religion,all,protestant
religion,all,pagan
religion,all,orthodox jewish
religion,all,muslim
religion,all,mormon
religion,all,methodist
religion,all,lutheran
religion,all,jewish
religion,all,jehovah's witness
religion,all,jain
religion,, ten commandments
religion,all,scientologist
religion,all,sephardic jewish
religion,all,seventh-day adventist
religion,all,shia
religion,, trinity
religion,, sanskrit
religion,, mecca
religion,, islam
religion,, baptize
religion,, mohammed
religion,, sharia
religion,, church
religion,, jesus
religion,all,humanist
religion,, christ
religion,all,zoroastrian
religion,all,unitarian
religion,all,wiccan
religion,all,taoist
religion,all,sunni
religion,all,spiritualist
religion,all,spiritual
religion,all,sikh
religion,all,shintoist
religion,, messiah
religion,all,hindu
religion,all,hasidic
religion,all,evangelical
religion,,wiccan person 
religion,,protestant  
religion,,lutheran  
religion,,american  
religion,,white person 
religion,,italian  
religion,,methodist  
religion,,mormon  
religion,,unitarian  
religion,,satanist  
religion,,episcopalian  
religion,, hajj
religion,, bible
religion,, christian
religion,, reincarnation
religion,, muslim
religion,,jihad
religion,,fundamentalist christian
religion,, hindu
religion,, brahmin
religion,,baptist  
religion,, quran
religion,,muslim  
religion,,hindu  
religion,all,druze
religion,all,conservative jewish
religion,all,confucianist
religion,all,christian
religion,all,cheondoist
religion,all,catholic
religion,all,buddhist
religion,all,born-again
religion,all,bahá'í
religion,,jew  
religion,all,atheist
religion,all,amish
religion,all,agnostic
religion,, vishnu
religion,,amish person 
religion,,arabic person 
religion,,atheist  
religion,,buddhist  
religion,,catholic  
religion,,christian  
religion,all,ashkenazi jewish
religion,, holy trinity
sexuality,,homosexual person 
sexuality,,non-heterosexual
sexuality,,intersex
sexuality,straight,heterosexual
sexuality,straight,hetero
sexuality,asexual_or_aromantic,ace
sexuality,queer,queer
sexuality,straight,straight
sexuality,,lady  
sexuality,,etero person 
sexuality,,woman  
sexuality,,straight person 
sexuality,,trans person 
sexuality,,lesbian  
sexuality,,gay  
sexuality,,heterosexual person 
sexuality,asexual_or_aromantic,asexual
sexuality,,man  
sexuality,asexual_or_aromantic,aromantic
sexuality,,bisexual person 
sexuality,bi,bisexual
sexuality,queer,lgbtq+
sexuality,bi,bi
sexuality,queer,lgbtq
sexuality,queer,lgbt
sexuality,polyamorous,polyamorous
sexuality,pansexual,pansexual
sexuality,polyamorous,poly
sexuality,lesbian,lesbian
sexuality,gay,homosexual
sexuality,gay,gay
sexuality,demisexual,demisexual
sexuality,pansexual,pan
socioeconomic,, physician
socioeconomic,, banker
socioeconomic,, dentist
socioeconomic,, pensioner
socioeconomic,, performing artist
socioeconomic,, judge
socioeconomic,, doctor
socioeconomic,, chef
socioeconomic,, electrician
socioeconomic,, sociologist
socioeconomic,, teacher
socioeconomic,, chief
socioeconomic,, prosecutor
socioeconomic,, commander
socioeconomic,, producer
socioeconomic,, actor
socioeconomic,, realtor
socioeconomic,, composer
socioeconomic,, diplomat
socioeconomic,, pharmacist
socioeconomic,, comedian
socioeconomic,, journalist
socioeconomic,, clerk
socioeconomic,, counselor
socioeconomic,, assistant
socioeconomic,, civil servant
socioeconomic,, bartender
socioeconomic,, author
socioeconomic,, drawer
socioeconomic,, tennis player
socioeconomic,, delivery man
socioeconomic,, waiter
socioeconomic,, attendant
socioeconomic,, umpire
socioeconomic,, handyman
socioeconomic,, editor
socioeconomic,, plumber
socioeconomic,, painter
socioeconomic,, artist
socioeconomic,,working in the finance industry
socioeconomic,, nurse
socioeconomic,,rancher  
socioeconomic,,ramshackle person 
socioeconomic,,working in a service industry
socioeconomic,,professor  
socioeconomic,,private person 
socioeconomic,,poverty stricken person
socioeconomic,,homely person 
socioeconomic,,police officer 
socioeconomic,,pastor  
socioeconomic,,motorcycle gang 
socioeconomic,,rich person 
socioeconomic,,mother  
socioeconomic,,mafia  
socioeconomic,,lawyer  
socioeconomic,,laborer  
socioeconomic,,homeless person 
socioeconomic,,hillibilly  
socioeconomic,,high income person
socioeconomic,,ghetto person 
socioeconomic,,garbage man 
socioeconomic,,gang member 
socioeconomic,,fisherman  
socioeconomic,,manual laborer 
socioeconomic,,secretary  
socioeconomic,,slave  
socioeconomic,,trailer park person
socioeconomic,,overeducated person 
socioeconomic,,cashier  
socioeconomic,,nurse  
socioeconomic,,co-owner  
socioeconomic,,actor  
socioeconomic,,meager person 
socioeconomic,,corporate offices person
socioeconomic,,engineer  
socioeconomic,,countryside person 
socioeconomic,,scientist  
socioeconomic,,store person 
socioeconomic,,mechanic  
socioeconomic,,famous surgeon 
socioeconomic,,queen  
socioeconomic,,athlete  
socioeconomic,,yacht person 
socioeconomic,,gated community person
socioeconomic,,office worker 
socioeconomic,,white person 
socioeconomic,,rich brat 
socioeconomic,,tent dweller 
socioeconomic,,rockstar  
socioeconomic,,uneducated person 
socioeconomic,,fashion model 
socioeconomic,,offender  
socioeconomic,,ex convict 
socioeconomic,,doctor  
socioeconomic,upper_class,one-percenter
socioeconomic,upper_class,upper-class
socioeconomic,upper_class,wealthy
socioeconomic,upper_class,well-to-do
socioeconomic,upper_class,well-off
socioeconomic,middle_class,middle-class
socioeconomic,working_class,working-class
socioeconomic,below_poverty_line,poor
socioeconomic,below_poverty_line,broke
socioeconomic,below_poverty_line,low-income
socioeconomic,upper_class,rich
socioeconomic,educational_attainment,high-school-dropout
socioeconomic,,less than a high school education
socioeconomic,,have a high school education
socioeconomic,,have a college degree
socioeconomic,,have a doctoral degree
socioeconomic,,working in a manual industry
socioeconomic,,upper class
socioeconomic,,middle class
socioeconomic,,working class
socioeconomic,,working in academia
socioeconomic,,working in the technology industry
socioeconomic,educational_attainment,college-graduate
socioeconomic,upper_class,moneyed
socioeconomic,upper_class,high-net-worth
socioeconomic,upper_class,financially well-off
socioeconomic,,cop  
socioeconomic,,contract worker 
socioeconomic,,construction worker 
socioeconomic,,considerable person 
socioeconomic,,coal mines person
socioeconomic,,clown  
socioeconomic,,city person 
socioeconomic,,celebrity  
socioeconomic,,cash register person
socioeconomic,,businessman  
socioeconomic,,broken student 
socioeconomic,,bowman  
socioeconomic,,bootlegger  
socioeconomic,,apartment person 
socioeconomic,,trailer person 
socioeconomic,,janitor  
socioeconomic,,vet  
socioeconomic,,poor person 
socioeconomic,,italian mobster 
socioeconomic,,homeowner  
socioeconomic,,ceo  
socioeconomic,,astronomer  
socioeconomic,upper_class,affluent
socioeconomic,,drop out 
socioeconomic,,landscaper  
socioeconomic,,accountant  
socioeconomic,,bougie person 
socioeconomic,, singer
socioeconomic,, photographer
socioeconomic,, accountant
socioeconomic,, designer
socioeconomic,, maid
socioeconomic,, librarian
socioeconomic,, midwife
socioeconomic,, manager
socioeconomic,, mover
socioeconomic,, physicist
socioeconomic,, opera singer
socioeconomic,, policeman
socioeconomic,, economist
socioeconomic,, sheriff
socioeconomic,, linguist
socioeconomic,, receptionist
socioeconomic,, coach
socioeconomic,, detective
socioeconomic,, lawyer
socioeconomic,, chemist
socioeconomic,, professor
socioeconomic,, engineer
socioeconomic,, handball player
socioeconomic,, secretary
socioeconomic,, historian
socioeconomic,, architect
socioeconomic,, barber
socioeconomic,, auditor
socioeconomic,, director
socioeconomic,, tailor
socioeconomic,, soldier
socioeconomic,, cashier
socioeconomic,, athlete
socioeconomic,, army
socioeconomic,, theologian
socioeconomic,, analyst
socioeconomic,, musician
socioeconomic,, academic
socioeconomic,, poet
socioeconomic,, illustrator
socioeconomic,, boxer
socioeconomic,, cleaner
socioeconomic,, psychologist
socioeconomic,, baker
socioeconomic,, real-estate developer
socioeconomic,, dancer
socioeconomic,, pilot
socioeconomic,, laborer
socioeconomic,, guard
socioeconomic,, guitarist
socioeconomic,, carpenter
socioeconomic,, writer
socioeconomic,, ceo
socioeconomic,,mansion person 
socioeconomic,,trash collector 
socioeconomic,,boss  
socioeconomic,,thug  
socioeconomic,,billionaire  
socioeconomic,,begger  
socioeconomic,,urban person 
socioeconomic,,upper class person
socioeconomic,,over wealthy person
socioeconomic,,well-off person 
socioeconomic,,privileged person 
socioeconomic,,posh person 
socioeconomic,,pampered person 
socioeconomic,,gambler  
socioeconomic,,cleric  
socioeconomic,,police  
socioeconomic,,executive  
socioeconomic,,waiter  
socioeconomic,,school teacher 
socioeconomic,,landlord  
socioeconomic,,wealthy person 
socioeconomic,,welfare money person
socioeconomic,,suburb person 
socioeconomic,,educated person 
socioeconomic,, housekeeper
socioeconomic,,janitor
socioeconomic,, model
socioeconomic,, hairdresser
socioeconomic,, software developer
socioeconomic,, mechanic
socioeconomic,, butcher
socioeconomic,, attorney
socioeconomic,, construction worker
socioeconomic,, supervisor
socioeconomic,, entrepreneur
socioeconomic,, pianist
socioeconomic,, swimmer
socioeconomic,, scientist
socioeconomic,, farmer
socioeconomic,, broker
socioeconomic,, prisoner
socioeconomic,, politician
socioeconomic,, cook
socioeconomic,, chess player
socioeconomic,, researcher
socioeconomic,, firefighter
socioeconomic,, priest
socioeconomic,, football player
socioeconomic,, mathematician
socioeconomic,, businessperson
socioeconomic,, salesperson
socioeconomic,,prostitute  
