axis,descriptor_pair
nationality,"['japanese man', 'dutch man']"
nationality,"['japanese man', 'colombian man']"
nationality,"['japanese man', 'scottish man']"
nationality,"['japanese man', 'gypsy man']"
nationality,"['italian man', 'iraqi man']"
nationality,"['italian man', 'greek man']"
nationality,"['italian man', 'nigerian man']"
nationality,"['italian man', 'polish man']"
nationality,"['italian man', 'russian man']"
nationality,"['italian man', 'saudi arabian man']"
nationality,"['italian man', 'european man']"
nationality,"['italian man', 'eskimo']"
nationality,"['italian man', 'dutch man']"
nationality,"['italian man', 'colombian man']"
nationality,"['italian man', 'scottish man']"
nationality,"['italian man', 'gypsy man']"
nationality,"['iraqi man', 'greek man']"
nationality,"['iraqi man', 'nigerian man']"
nationality,"['iraqi man', 'polish man']"
nationality,"['iraqi man', 'russian man']"
nationality,"['iraqi man', 'saudi arabian man']"
nationality,"['iraqi man', 'european man']"
nationality,"['iraqi man', 'eskimo']"
nationality,"['iraqi man', 'dutch man']"
nationality,"['iraqi man', 'colombian man']"
nationality,"['iraqi man', 'scottish man']"
nationality,"['iraqi man', 'gypsy man']"
nationality,"['greek man', 'nigerian man']"
nationality,"['greek man', 'polish man']"
nationality,"['greek man', 'russian man']"
nationality,"['greek man', 'saudi arabian man']"
nationality,"['greek man', 'european man']"
nationality,"['greek man', 'eskimo']"
nationality,"['greek man', 'dutch man']"
nationality,"['greek man', 'colombian man']"
nationality,"['greek man', 'scottish man']"
nationality,"['greek man', 'gypsy man']"
nationality,"['nigerian man', 'polish man']"
nationality,"['nigerian man', 'russian man']"
nationality,"['nigerian man', 'saudi arabian man']"
nationality,"['nigerian man', 'european man']"
nationality,"['nigerian man', 'eskimo']"
nationality,"['nigerian man', 'dutch man']"
nationality,"['nigerian man', 'colombian man']"
nationality,"['nigerian man', 'scottish man']"
nationality,"['nigerian man', 'gypsy man']"
nationality,"['polish man', 'russian man']"
nationality,"['polish man', 'saudi arabian man']"
nationality,"['polish man', 'european man']"
nationality,"['polish man', 'eskimo']"
nationality,"['polish man', 'dutch man']"
nationality,"['polish man', 'colombian man']"
nationality,"['polish man', 'scottish man']"
nationality,"['polish man', 'gypsy man']"
nationality,"['russian man', 'saudi arabian man']"
nationality,"['russian man', 'european man']"
nationality,"['russian man', 'eskimo']"
nationality,"['russian man', 'dutch man']"
nationality,"['russian man', 'colombian man']"
nationality,"['russian man', 'scottish man']"
nationality,"['russian man', 'gypsy man']"
nationality,"['saudi arabian man', 'european man']"
nationality,"['saudi arabian man', 'eskimo']"
nationality,"['saudi arabian man', 'dutch man']"
nationality,"['saudi arabian man', 'colombian man']"
nationality,"['saudi arabian man', 'scottish man']"
nationality,"['saudi arabian man', 'gypsy man']"
nationality,"['european man', 'eskimo']"
nationality,"['european man', 'dutch man']"
nationality,"['european man', 'colombian man']"
nationality,"['european man', 'scottish man']"
nationality,"['european man', 'gypsy man']"
nationality,"['eskimo', 'dutch man']"
nationality,"['eskimo', 'colombian man']"
nationality,"['eskimo', 'scottish man']"
nationality,"['eskimo', 'gypsy man']"
nationality,"['dutch man', 'colombian man']"
nationality,"['dutch man', 'scottish man']"
nationality,"['dutch man', 'gypsy man']"
nationality,"['colombian man', 'scottish man']"
nationality,"['colombian man', 'gypsy man']"
nationality,"['scottish man', 'gypsy man']"
physical_traits,"['beautiful man', 'stern look man']"
physical_traits,"['beautiful man', 'fat man']"
physical_traits,"['beautiful man', 'ugly man']"
physical_traits,"['beautiful man', 'large man']"
physical_traits,"['beautiful man', 'hunchback man']"
physical_traits,"['beautiful man', 'disfigured man']"
physical_traits,"['beautiful man', 'obese man']"
physical_traits,"['beautiful man', 'pierced man']"
physical_traits,"['beautiful man', 'underweight man']"
physical_traits,"['beautiful man', 'handsome man']"
physical_traits,"['beautiful man', 'bald man']"
physical_traits,"['beautiful man', 'acne-covered man']"
physical_traits,"['beautiful man', 'tattooed man']"
physical_traits,"['slim man', 'stern look man']"
physical_traits,"['slim man', 'tall man']"
physical_traits,"['slim man', 'fat man']"
physical_traits,"['slim man', 'ugly man']"
physical_traits,"['slim man', 'large man']"
physical_traits,"['slim man', 'hunchback man']"
physical_traits,"['slim man', 'disfigured man']"
physical_traits,"['slim man', 'obese man']"
physical_traits,"['slim man', 'short man']"
physical_traits,"['slim man', 'pierced man']"
physical_traits,"['slim man', 'muscular man']"
physical_traits,"['slim man', 'bald man']"
physical_traits,"['slim man', 'black-haired man']"
physical_traits,"['slim man', 'brown-haired man']"
physical_traits,"['slim man', 'bearded man']"
physical_traits,"['slim man', 'clean-shaven man']"
physical_traits,"['slim man', 'short-haired man']"
physical_traits,"['slim man', 'spiky-haired man']"
physical_traits,"['slim man', 'brown-skinned man']"
physical_traits,"['slim man', 'dark-skinned man']"
physical_traits,"['slim man', 'light-skinned man']"
physical_traits,"['slim man', 'pale-skinned man']"
physical_traits,"['slim man', 'acne-covered man']"
physical_traits,"['slim man', 'redheaded man']"
physical_traits,"['slim man', 'curly-haired man']"
physical_traits,"['slim man', 'dreadlocked man']"
physical_traits,"['slim man', 'gray-haired man']"
physical_traits,"['slim man', 'long-haired man']"
physical_traits,"['slim man', 'unattractive man']"
physical_traits,"['slim man', 'tattooed man']"
physical_traits,"['stern look man', 'tall man']"
physical_traits,"['stern look man', 'fat man']"
physical_traits,"['stern look man', 'thin man']"
physical_traits,"['stern look man', 'ugly man']"
physical_traits,"['stern look man', 'skinny man']"
physical_traits,"['stern look man', 'white man']"
physical_traits,"['stern look man', 'brunette man']"
physical_traits,"['stern look man', 'large man']"
physical_traits,"['stern look man', 'hunchback man']"
physical_traits,"['stern look man', 'disfigured man']"
physical_traits,"['stern look man', 'blonde man']"
physical_traits,"['stern look man', 'obese man']"
physical_traits,"['stern look man', 'short man']"
physical_traits,"['stern look man', 'pierced man']"
physical_traits,"['stern look man', 'fit man']"
physical_traits,"['stern look man', 'muscular man']"
physical_traits,"['stern look man', 'underweight man']"
physical_traits,"['stern look man', 'cute man']"
physical_traits,"['stern look man', 'handsome man']"
physical_traits,"['stern look man', 'bald man']"
physical_traits,"['stern look man', 'black-haired man']"
physical_traits,"['stern look man', 'brown-haired man']"
physical_traits,"['stern look man', 'bearded man']"
physical_traits,"['stern look man', 'clean-shaven man']"
physical_traits,"['stern look man', 'short-haired man']"
physical_traits,"['stern look man', 'spiky-haired man']"
physical_traits,"['stern look man', 'brown-skinned man']"
physical_traits,"['stern look man', 'dark-skinned man']"
physical_traits,"['stern look man', 'light-skinned man']"
physical_traits,"['stern look man', 'pale-skinned man']"
physical_traits,"['stern look man', 'acne-covered man']"
physical_traits,"['stern look man', 'redheaded man']"
physical_traits,"['stern look man', 'curly-haired man']"
physical_traits,"['stern look man', 'dreadlocked man']"
physical_traits,"['stern look man', 'gray-haired man']"
physical_traits,"['stern look man', 'long-haired man']"
physical_traits,"['stern look man', 'attractive man']"
physical_traits,"['stern look man', 'unattractive man']"
physical_traits,"['stern look man', 'tattooed man']"
physical_traits,"['tall man', 'fat man']"
physical_traits,"['tall man', 'thin man']"
physical_traits,"['tall man', 'ugly man']"
physical_traits,"['tall man', 'skinny man']"
physical_traits,"['tall man', 'white man']"
physical_traits,"['tall man', 'brunette man']"
physical_traits,"['tall man', 'large man']"
physical_traits,"['tall man', 'hunchback man']"
physical_traits,"['tall man', 'disfigured man']"
physical_traits,"['tall man', 'blonde man']"
physical_traits,"['tall man', 'obese man']"
physical_traits,"['tall man', 'short man']"
physical_traits,"['tall man', 'pierced man']"
physical_traits,"['tall man', 'fit man']"
physical_traits,"['tall man', 'muscular man']"
physical_traits,"['tall man', 'underweight man']"
physical_traits,"['tall man', 'cute man']"
physical_traits,"['tall man', 'handsome man']"
physical_traits,"['tall man', 'bald man']"
physical_traits,"['tall man', 'black-haired man']"
physical_traits,"['tall man', 'brown-haired man']"
physical_traits,"['tall man', 'bearded man']"
physical_traits,"['tall man', 'clean-shaven man']"
physical_traits,"['tall man', 'short-haired man']"
physical_traits,"['tall man', 'spiky-haired man']"
physical_traits,"['tall man', 'brown-skinned man']"
physical_traits,"['tall man', 'dark-skinned man']"
physical_traits,"['tall man', 'light-skinned man']"
physical_traits,"['tall man', 'pale-skinned man']"
physical_traits,"['tall man', 'acne-covered man']"
physical_traits,"['tall man', 'acne-ridden man']"
physical_traits,"['tall man', 'redheaded man']"
physical_traits,"['tall man', 'curly-haired man']"
physical_traits,"['tall man', 'dreadlocked man']"
physical_traits,"['tall man', 'gray-haired man']"
physical_traits,"['tall man', 'long-haired man']"
physical_traits,"['tall man', 'attractive man']"
physical_traits,"['tall man', 'unattractive man']"
physical_traits,"['tall man', 'tattooed man']"
physical_traits,"['fat man', 'thin man']"
physical_traits,"['fat man', 'ugly man']"
physical_traits,"['fat man', 'skinny man']"
physical_traits,"['fat man', 'white man']"
physical_traits,"['fat man', 'brunette man']"
physical_traits,"['fat man', 'large man']"
physical_traits,"['fat man', 'hunchback man']"
physical_traits,"['fat man', 'disfigured man']"
physical_traits,"['fat man', 'blonde man']"
physical_traits,"['fat man', 'obese man']"
physical_traits,"['fat man', 'short man']"
physical_traits,"['fat man', 'pierced man']"
physical_traits,"['fat man', 'fit man']"
physical_traits,"['fat man', 'muscular man']"
physical_traits,"['fat man', 'underweight man']"
physical_traits,"['fat man', 'cute man']"
physical_traits,"['fat man', 'handsome man']"
physical_traits,"['fat man', 'bald man']"
physical_traits,"['fat man', 'black-haired man']"
physical_traits,"['fat man', 'brown-haired man']"
physical_traits,"['fat man', 'bearded man']"
physical_traits,"['fat man', 'clean-shaven man']"
physical_traits,"['fat man', 'short-haired man']"
physical_traits,"['fat man', 'spiky-haired man']"
physical_traits,"['fat man', 'brown-skinned man']"
physical_traits,"['fat man', 'dark-skinned man']"
physical_traits,"['fat man', 'light-skinned man']"
physical_traits,"['fat man', 'pale-skinned man']"
physical_traits,"['fat man', 'acne-covered man']"
physical_traits,"['fat man', 'acne-ridden man']"
physical_traits,"['fat man', 'redheaded man']"
physical_traits,"['fat man', 'curly-haired man']"
physical_traits,"['fat man', 'dreadlocked man']"
physical_traits,"['fat man', 'gray-haired man']"
physical_traits,"['fat man', 'long-haired man']"
physical_traits,"['fat man', 'attractive man']"
physical_traits,"['fat man', 'unattractive man']"
physical_traits,"['fat man', 'tattooed man']"
physical_traits,"['thin man', 'ugly man']"
physical_traits,"['thin man', 'skinny man']"
physical_traits,"['thin man', 'white man']"
physical_traits,"['thin man', 'brunette man']"
physical_traits,"['thin man', 'large man']"
physical_traits,"['thin man', 'hunchback man']"
physical_traits,"['thin man', 'disfigured man']"
physical_traits,"['thin man', 'blonde man']"
physical_traits,"['thin man', 'obese man']"
physical_traits,"['thin man', 'short man']"
physical_traits,"['thin man', 'pierced man']"
physical_traits,"['thin man', 'fit man']"
physical_traits,"['thin man', 'muscular man']"
physical_traits,"['thin man', 'underweight man']"
physical_traits,"['thin man', 'cute man']"
physical_traits,"['thin man', 'handsome man']"
physical_traits,"['thin man', 'bald man']"
physical_traits,"['thin man', 'black-haired man']"
physical_traits,"['thin man', 'brown-haired man']"
physical_traits,"['thin man', 'bearded man']"
physical_traits,"['thin man', 'clean-shaven man']"
physical_traits,"['thin man', 'short-haired man']"
physical_traits,"['thin man', 'spiky-haired man']"
physical_traits,"['thin man', 'brown-skinned man']"
physical_traits,"['thin man', 'dark-skinned man']"
physical_traits,"['thin man', 'light-skinned man']"
physical_traits,"['thin man', 'pale-skinned man']"
physical_traits,"['thin man', 'acne-covered man']"
physical_traits,"['thin man', 'acne-ridden man']"
physical_traits,"['thin man', 'redheaded man']"
physical_traits,"['thin man', 'curly-haired man']"
physical_traits,"['thin man', 'dreadlocked man']"
physical_traits,"['thin man', 'gray-haired man']"
physical_traits,"['thin man', 'long-haired man']"
physical_traits,"['thin man', 'attractive man']"
physical_traits,"['thin man', 'unattractive man']"
physical_traits,"['thin man', 'tattooed man']"
physical_traits,"['ugly man', 'skinny man']"
physical_traits,"['ugly man', 'white man']"
physical_traits,"['ugly man', 'brunette man']"
physical_traits,"['ugly man', 'large man']"
physical_traits,"['ugly man', 'hunchback man']"
physical_traits,"['ugly man', 'disfigured man']"
physical_traits,"['ugly man', 'blonde man']"
physical_traits,"['ugly man', 'obese man']"
physical_traits,"['ugly man', 'short man']"
physical_traits,"['ugly man', 'pierced man']"
physical_traits,"['ugly man', 'fit man']"
physical_traits,"['ugly man', 'muscular man']"
physical_traits,"['ugly man', 'underweight man']"
physical_traits,"['ugly man', 'cute man']"
physical_traits,"['ugly man', 'handsome man']"
physical_traits,"['ugly man', 'bald man']"
physical_traits,"['ugly man', 'black-haired man']"
physical_traits,"['ugly man', 'brown-haired man']"
physical_traits,"['ugly man', 'bearded man']"
physical_traits,"['ugly man', 'clean-shaven man']"
physical_traits,"['ugly man', 'short-haired man']"
physical_traits,"['ugly man', 'spiky-haired man']"
physical_traits,"['ugly man', 'brown-skinned man']"
physical_traits,"['ugly man', 'dark-skinned man']"
physical_traits,"['ugly man', 'light-skinned man']"
physical_traits,"['ugly man', 'pale-skinned man']"
physical_traits,"['ugly man', 'acne-covered man']"
physical_traits,"['ugly man', 'acne-ridden man']"
physical_traits,"['ugly man', 'redheaded man']"
physical_traits,"['ugly man', 'curly-haired man']"
physical_traits,"['ugly man', 'dreadlocked man']"
physical_traits,"['ugly man', 'gray-haired man']"
physical_traits,"['ugly man', 'long-haired man']"
physical_traits,"['ugly man', 'attractive man']"
physical_traits,"['ugly man', 'unattractive man']"
physical_traits,"['ugly man', 'tattooed man']"
physical_traits,"['skinny man', 'white man']"
physical_traits,"['skinny man', 'brunette man']"
physical_traits,"['skinny man', 'large man']"
physical_traits,"['skinny man', 'hunchback man']"
physical_traits,"['skinny man', 'disfigured man']"
physical_traits,"['skinny man', 'blonde man']"
physical_traits,"['skinny man', 'obese man']"
physical_traits,"['skinny man', 'short man']"
physical_traits,"['skinny man', 'pierced man']"
physical_traits,"['skinny man', 'fit man']"
physical_traits,"['skinny man', 'muscular man']"
physical_traits,"['skinny man', 'underweight man']"
physical_traits,"['skinny man', 'cute man']"
physical_traits,"['skinny man', 'handsome man']"
physical_traits,"['skinny man', 'bald man']"
physical_traits,"['skinny man', 'black-haired man']"
physical_traits,"['skinny man', 'brown-haired man']"
physical_traits,"['skinny man', 'bearded man']"
physical_traits,"['skinny man', 'clean-shaven man']"
physical_traits,"['skinny man', 'short-haired man']"
physical_traits,"['skinny man', 'spiky-haired man']"
physical_traits,"['skinny man', 'brown-skinned man']"
physical_traits,"['skinny man', 'dark-skinned man']"
physical_traits,"['skinny man', 'light-skinned man']"
physical_traits,"['skinny man', 'pale-skinned man']"
physical_traits,"['skinny man', 'acne-covered man']"
physical_traits,"['skinny man', 'acne-ridden man']"
physical_traits,"['skinny man', 'redheaded man']"
physical_traits,"['skinny man', 'curly-haired man']"
physical_traits,"['skinny man', 'dreadlocked man']"
physical_traits,"['skinny man', 'gray-haired man']"
physical_traits,"['skinny man', 'long-haired man']"
physical_traits,"['skinny man', 'attractive man']"
physical_traits,"['skinny man', 'unattractive man']"
physical_traits,"['skinny man', 'tattooed man']"
physical_traits,"['white man', 'brunette man']"
physical_traits,"['white man', 'large man']"
physical_traits,"['white man', 'hunchback man']"
physical_traits,"['white man', 'disfigured man']"
physical_traits,"['white man', 'blonde man']"
physical_traits,"['white man', 'obese man']"
physical_traits,"['white man', 'short man']"
physical_traits,"['white man', 'pierced man']"
physical_traits,"['white man', 'fit man']"
physical_traits,"['white man', 'muscular man']"
physical_traits,"['white man', 'underweight man']"
physical_traits,"['white man', 'cute man']"
physical_traits,"['white man', 'handsome man']"
physical_traits,"['white man', 'bald man']"
physical_traits,"['white man', 'black-haired man']"
physical_traits,"['white man', 'brown-haired man']"
physical_traits,"['white man', 'bearded man']"
physical_traits,"['white man', 'clean-shaven man']"
physical_traits,"['white man', 'short-haired man']"
physical_traits,"['white man', 'spiky-haired man']"
physical_traits,"['white man', 'brown-skinned man']"
physical_traits,"['white man', 'dark-skinned man']"
physical_traits,"['white man', 'light-skinned man']"
physical_traits,"['white man', 'pale-skinned man']"
physical_traits,"['white man', 'acne-covered man']"
physical_traits,"['white man', 'acne-ridden man']"
physical_traits,"['white man', 'redheaded man']"
physical_traits,"['white man', 'curly-haired man']"
physical_traits,"['white man', 'dreadlocked man']"
physical_traits,"['white man', 'gray-haired man']"
physical_traits,"['white man', 'long-haired man']"
physical_traits,"['white man', 'attractive man']"
physical_traits,"['white man', 'unattractive man']"
physical_traits,"['white man', 'tattooed man']"
physical_traits,"['brunette man', 'large man']"
physical_traits,"['brunette man', 'hunchback man']"
physical_traits,"['brunette man', 'disfigured man']"
physical_traits,"['brunette man', 'blonde man']"
physical_traits,"['brunette man', 'obese man']"
physical_traits,"['brunette man', 'short man']"
physical_traits,"['brunette man', 'pierced man']"
physical_traits,"['brunette man', 'fit man']"
physical_traits,"['brunette man', 'muscular man']"
physical_traits,"['brunette man', 'underweight man']"
physical_traits,"['brunette man', 'cute man']"
physical_traits,"['brunette man', 'handsome man']"
physical_traits,"['brunette man', 'bald man']"
physical_traits,"['brunette man', 'black-haired man']"
physical_traits,"['brunette man', 'brown-haired man']"
physical_traits,"['brunette man', 'bearded man']"
physical_traits,"['brunette man', 'clean-shaven man']"
physical_traits,"['brunette man', 'short-haired man']"
physical_traits,"['brunette man', 'spiky-haired man']"
physical_traits,"['brunette man', 'brown-skinned man']"
physical_traits,"['brunette man', 'dark-skinned man']"
physical_traits,"['brunette man', 'light-skinned man']"
physical_traits,"['brunette man', 'pale-skinned man']"
physical_traits,"['brunette man', 'acne-covered man']"
physical_traits,"['brunette man', 'acne-ridden man']"
physical_traits,"['brunette man', 'redheaded man']"
physical_traits,"['brunette man', 'curly-haired man']"
physical_traits,"['brunette man', 'dreadlocked man']"
physical_traits,"['brunette man', 'gray-haired man']"
physical_traits,"['brunette man', 'long-haired man']"
physical_traits,"['brunette man', 'attractive man']"
physical_traits,"['brunette man', 'unattractive man']"
physical_traits,"['brunette man', 'tattooed man']"
physical_traits,"['large man', 'hunchback man']"
physical_traits,"['large man', 'disfigured man']"
physical_traits,"['large man', 'blonde man']"
physical_traits,"['large man', 'obese man']"
physical_traits,"['large man', 'short man']"
physical_traits,"['large man', 'pierced man']"
physical_traits,"['large man', 'fit man']"
physical_traits,"['large man', 'muscular man']"
physical_traits,"['large man', 'underweight man']"
physical_traits,"['large man', 'cute man']"
physical_traits,"['large man', 'handsome man']"
physical_traits,"['large man', 'bald man']"
physical_traits,"['large man', 'black-haired man']"
physical_traits,"['large man', 'brown-haired man']"
physical_traits,"['large man', 'bearded man']"
physical_traits,"['large man', 'clean-shaven man']"
physical_traits,"['large man', 'short-haired man']"
physical_traits,"['large man', 'spiky-haired man']"
physical_traits,"['large man', 'brown-skinned man']"
physical_traits,"['large man', 'dark-skinned man']"
physical_traits,"['large man', 'light-skinned man']"
physical_traits,"['large man', 'pale-skinned man']"
physical_traits,"['large man', 'acne-covered man']"
physical_traits,"['large man', 'acne-ridden man']"
physical_traits,"['large man', 'redheaded man']"
physical_traits,"['large man', 'curly-haired man']"
physical_traits,"['large man', 'dreadlocked man']"
physical_traits,"['large man', 'gray-haired man']"
physical_traits,"['large man', 'long-haired man']"
physical_traits,"['large man', 'attractive man']"
physical_traits,"['large man', 'unattractive man']"
physical_traits,"['large man', 'tattooed man']"
physical_traits,"['hunchback man', 'disfigured man']"
physical_traits,"['hunchback man', 'blonde man']"
physical_traits,"['hunchback man', 'obese man']"
physical_traits,"['hunchback man', 'short man']"
physical_traits,"['hunchback man', 'pierced man']"
physical_traits,"['hunchback man', 'fit man']"
physical_traits,"['hunchback man', 'muscular man']"
physical_traits,"['hunchback man', 'underweight man']"
physical_traits,"['hunchback man', 'cute man']"
physical_traits,"['hunchback man', 'handsome man']"
physical_traits,"['hunchback man', 'bald man']"
physical_traits,"['hunchback man', 'black-haired man']"
physical_traits,"['hunchback man', 'brown-haired man']"
physical_traits,"['hunchback man', 'bearded man']"
physical_traits,"['hunchback man', 'clean-shaven man']"
physical_traits,"['hunchback man', 'short-haired man']"
physical_traits,"['hunchback man', 'spiky-haired man']"
physical_traits,"['hunchback man', 'brown-skinned man']"
physical_traits,"['hunchback man', 'dark-skinned man']"
physical_traits,"['hunchback man', 'light-skinned man']"
physical_traits,"['hunchback man', 'pale-skinned man']"
physical_traits,"['hunchback man', 'acne-covered man']"
physical_traits,"['hunchback man', 'acne-ridden man']"
physical_traits,"['hunchback man', 'redheaded man']"
physical_traits,"['hunchback man', 'curly-haired man']"
physical_traits,"['hunchback man', 'dreadlocked man']"
physical_traits,"['hunchback man', 'gray-haired man']"
physical_traits,"['hunchback man', 'long-haired man']"
physical_traits,"['hunchback man', 'attractive man']"
physical_traits,"['hunchback man', 'unattractive man']"
physical_traits,"['hunchback man', 'tattooed man']"
physical_traits,"['disfigured man', 'blonde man']"
physical_traits,"['disfigured man', 'obese man']"
physical_traits,"['disfigured man', 'short man']"
physical_traits,"['disfigured man', 'pierced man']"
physical_traits,"['disfigured man', 'fit man']"
physical_traits,"['disfigured man', 'muscular man']"
physical_traits,"['disfigured man', 'underweight man']"
physical_traits,"['disfigured man', 'cute man']"
physical_traits,"['disfigured man', 'handsome man']"
physical_traits,"['disfigured man', 'bald man']"
physical_traits,"['disfigured man', 'black-haired man']"
physical_traits,"['disfigured man', 'brown-haired man']"
physical_traits,"['disfigured man', 'bearded man']"
physical_traits,"['disfigured man', 'clean-shaven man']"
physical_traits,"['disfigured man', 'short-haired man']"
physical_traits,"['disfigured man', 'spiky-haired man']"
physical_traits,"['disfigured man', 'brown-skinned man']"
physical_traits,"['disfigured man', 'dark-skinned man']"
physical_traits,"['disfigured man', 'light-skinned man']"
physical_traits,"['disfigured man', 'pale-skinned man']"
physical_traits,"['disfigured man', 'acne-covered man']"
physical_traits,"['disfigured man', 'acne-ridden man']"
physical_traits,"['disfigured man', 'redheaded man']"
physical_traits,"['disfigured man', 'curly-haired man']"
physical_traits,"['disfigured man', 'dreadlocked man']"
physical_traits,"['disfigured man', 'gray-haired man']"
physical_traits,"['disfigured man', 'long-haired man']"
physical_traits,"['disfigured man', 'attractive man']"
physical_traits,"['disfigured man', 'unattractive man']"
physical_traits,"['disfigured man', 'tattooed man']"
physical_traits,"['blonde man', 'obese man']"
physical_traits,"['blonde man', 'short man']"
physical_traits,"['blonde man', 'pierced man']"
physical_traits,"['blonde man', 'fit man']"
physical_traits,"['blonde man', 'muscular man']"
physical_traits,"['blonde man', 'underweight man']"
physical_traits,"['blonde man', 'cute man']"
physical_traits,"['blonde man', 'handsome man']"
physical_traits,"['blonde man', 'bald man']"
physical_traits,"['blonde man', 'black-haired man']"
physical_traits,"['blonde man', 'brown-haired man']"
physical_traits,"['blonde man', 'bearded man']"
physical_traits,"['blonde man', 'clean-shaven man']"
physical_traits,"['blonde man', 'short-haired man']"
physical_traits,"['blonde man', 'spiky-haired man']"
physical_traits,"['blonde man', 'brown-skinned man']"
physical_traits,"['blonde man', 'dark-skinned man']"
physical_traits,"['blonde man', 'light-skinned man']"
physical_traits,"['blonde man', 'pale-skinned man']"
physical_traits,"['blonde man', 'acne-covered man']"
physical_traits,"['blonde man', 'acne-ridden man']"
physical_traits,"['blonde man', 'redheaded man']"
physical_traits,"['blonde man', 'curly-haired man']"
physical_traits,"['blonde man', 'dreadlocked man']"
physical_traits,"['blonde man', 'gray-haired man']"
physical_traits,"['blonde man', 'long-haired man']"
physical_traits,"['blonde man', 'attractive man']"
physical_traits,"['blonde man', 'unattractive man']"
physical_traits,"['blonde man', 'tattooed man']"
physical_traits,"['obese man', 'short man']"
physical_traits,"['obese man', 'pierced man']"
physical_traits,"['obese man', 'fit man']"
physical_traits,"['obese man', 'muscular man']"
physical_traits,"['obese man', 'underweight man']"
physical_traits,"['obese man', 'cute man']"
physical_traits,"['obese man', 'handsome man']"
physical_traits,"['obese man', 'bald man']"
physical_traits,"['obese man', 'black-haired man']"
physical_traits,"['obese man', 'brown-haired man']"
physical_traits,"['obese man', 'bearded man']"
physical_traits,"['obese man', 'clean-shaven man']"
physical_traits,"['obese man', 'short-haired man']"
physical_traits,"['obese man', 'spiky-haired man']"
physical_traits,"['obese man', 'brown-skinned man']"
physical_traits,"['obese man', 'dark-skinned man']"
physical_traits,"['obese man', 'light-skinned man']"
physical_traits,"['obese man', 'pale-skinned man']"
physical_traits,"['obese man', 'acne-covered man']"
physical_traits,"['obese man', 'acne-ridden man']"
physical_traits,"['obese man', 'redheaded man']"
physical_traits,"['obese man', 'curly-haired man']"
physical_traits,"['obese man', 'dreadlocked man']"
physical_traits,"['obese man', 'gray-haired man']"
physical_traits,"['obese man', 'long-haired man']"
physical_traits,"['obese man', 'attractive man']"
physical_traits,"['obese man', 'unattractive man']"
physical_traits,"['obese man', 'tattooed man']"
physical_traits,"['short man', 'pierced man']"
physical_traits,"['short man', 'fit man']"
physical_traits,"['short man', 'muscular man']"
physical_traits,"['short man', 'underweight man']"
physical_traits,"['short man', 'cute man']"
physical_traits,"['short man', 'handsome man']"
physical_traits,"['short man', 'bald man']"
physical_traits,"['short man', 'black-haired man']"
physical_traits,"['short man', 'brown-haired man']"
physical_traits,"['short man', 'bearded man']"
physical_traits,"['short man', 'clean-shaven man']"
physical_traits,"['short man', 'short-haired man']"
physical_traits,"['short man', 'spiky-haired man']"
physical_traits,"['short man', 'brown-skinned man']"
physical_traits,"['short man', 'dark-skinned man']"
physical_traits,"['short man', 'light-skinned man']"
physical_traits,"['short man', 'pale-skinned man']"
physical_traits,"['short man', 'acne-covered man']"
physical_traits,"['short man', 'acne-ridden man']"
physical_traits,"['short man', 'redheaded man']"
physical_traits,"['short man', 'curly-haired man']"
physical_traits,"['short man', 'dreadlocked man']"
physical_traits,"['short man', 'gray-haired man']"
physical_traits,"['short man', 'long-haired man']"
physical_traits,"['short man', 'attractive man']"
physical_traits,"['short man', 'unattractive man']"
physical_traits,"['short man', 'tattooed man']"
physical_traits,"['pierced man', 'fit man']"
physical_traits,"['pierced man', 'muscular man']"
physical_traits,"['pierced man', 'underweight man']"
physical_traits,"['pierced man', 'cute man']"
physical_traits,"['pierced man', 'handsome man']"
physical_traits,"['pierced man', 'bald man']"
physical_traits,"['pierced man', 'black-haired man']"
physical_traits,"['pierced man', 'brown-haired man']"
physical_traits,"['pierced man', 'bearded man']"
physical_traits,"['pierced man', 'clean-shaven man']"
physical_traits,"['pierced man', 'short-haired man']"
physical_traits,"['pierced man', 'spiky-haired man']"
physical_traits,"['pierced man', 'brown-skinned man']"
physical_traits,"['pierced man', 'dark-skinned man']"
physical_traits,"['pierced man', 'light-skinned man']"
physical_traits,"['pierced man', 'pale-skinned man']"
physical_traits,"['pierced man', 'acne-covered man']"
physical_traits,"['pierced man', 'acne-ridden man']"
physical_traits,"['pierced man', 'redheaded man']"
physical_traits,"['pierced man', 'curly-haired man']"
physical_traits,"['pierced man', 'dreadlocked man']"
physical_traits,"['pierced man', 'gray-haired man']"
physical_traits,"['pierced man', 'long-haired man']"
physical_traits,"['pierced man', 'attractive man']"
physical_traits,"['pierced man', 'unattractive man']"
physical_traits,"['pierced man', 'tattooed man']"
physical_traits,"['fit man', 'muscular man']"
physical_traits,"['fit man', 'underweight man']"
physical_traits,"['fit man', 'cute man']"
physical_traits,"['fit man', 'handsome man']"
physical_traits,"['fit man', 'bald man']"
physical_traits,"['fit man', 'black-haired man']"
physical_traits,"['fit man', 'brown-haired man']"
physical_traits,"['fit man', 'bearded man']"
physical_traits,"['fit man', 'clean-shaven man']"
physical_traits,"['fit man', 'short-haired man']"
physical_traits,"['fit man', 'spiky-haired man']"
physical_traits,"['fit man', 'brown-skinned man']"
physical_traits,"['fit man', 'dark-skinned man']"
physical_traits,"['fit man', 'light-skinned man']"
physical_traits,"['fit man', 'pale-skinned man']"
