axis,descriptor_pair
nationality,"['polish woman', 'colombian woman']"
nationality,"['polish woman', 'scottish woman']"
nationality,"['polish woman', 'gypsy woman']"
nationality,"['russian woman', 'saudi arabian woman']"
nationality,"['russian woman', 'european woman']"
nationality,"['russian woman', 'eskimo']"
nationality,"['russian woman', 'dutch woman']"
nationality,"['russian woman', 'colombian woman']"
nationality,"['russian woman', 'scottish woman']"
nationality,"['russian woman', 'gypsy woman']"
nationality,"['saudi arabian woman', 'european woman']"
nationality,"['saudi arabian woman', 'eskimo']"
nationality,"['saudi arabian woman', 'dutch woman']"
nationality,"['saudi arabian woman', 'colombian woman']"
nationality,"['saudi arabian woman', 'scottish woman']"
nationality,"['saudi arabian woman', 'gypsy woman']"
nationality,"['european woman', 'eskimo']"
nationality,"['european woman', 'dutch woman']"
nationality,"['european woman', 'colombian woman']"
nationality,"['european woman', 'scottish woman']"
nationality,"['european woman', 'gypsy woman']"
nationality,"['eskimo', 'dutch woman']"
nationality,"['eskimo', 'colombian woman']"
nationality,"['eskimo', 'scottish woman']"
nationality,"['eskimo', 'gypsy woman']"
nationality,"['dutch woman', 'colombian woman']"
nationality,"['dutch woman', 'scottish woman']"
nationality,"['dutch woman', 'gypsy woman']"
nationality,"['colombian woman', 'scottish woman']"
nationality,"['colombian woman', 'gypsy woman']"
nationality,"['scottish woman', 'gypsy woman']"
physical_traits,"['beautiful woman', 'slim woman']"
physical_traits,"['beautiful woman', 'stern look woman']"
physical_traits,"['beautiful woman', 'fat woman']"
physical_traits,"['beautiful woman', 'ugly woman']"
physical_traits,"['beautiful woman', 'large woman']"
physical_traits,"['beautiful woman', 'hunchback woman']"
physical_traits,"['beautiful woman', 'disfigured woman']"
physical_traits,"['beautiful woman', 'obese woman']"
physical_traits,"['beautiful woman', 'pierced woman']"
physical_traits,"['beautiful woman', 'underweight woman']"
physical_traits,"['beautiful woman', 'bald woman']"
physical_traits,"['beautiful woman', 'acne-covered woman']"
physical_traits,"['beautiful woman', 'tattooed woman']"
physical_traits,"['slim woman', 'stern look woman']"
physical_traits,"['slim woman', 'tall woman']"
physical_traits,"['slim woman', 'fat woman']"
physical_traits,"['slim woman', 'ugly woman']"
physical_traits,"['slim woman', 'large woman']"
physical_traits,"['slim woman', 'hunchback woman']"
physical_traits,"['slim woman', 'disfigured woman']"
physical_traits,"['slim woman', 'obese woman']"
physical_traits,"['slim woman', 'short woman']"
physical_traits,"['slim woman', 'pierced woman']"
physical_traits,"['slim woman', 'muscular woman']"
physical_traits,"['slim woman', 'bald woman']"
physical_traits,"['slim woman', 'black-haired woman']"
physical_traits,"['slim woman', 'brown-haired woman']"
physical_traits,"['slim woman', 'short-haired woman']"
physical_traits,"['slim woman', 'spiky-haired woman']"
physical_traits,"['slim woman', 'brown-skinned woman']"
physical_traits,"['slim woman', 'dark-skinned woman']"
physical_traits,"['slim woman', 'light-skinned woman']"
physical_traits,"['slim woman', 'pale-skinned woman']"
physical_traits,"['slim woman', 'acne-covered woman']"
physical_traits,"['slim woman', 'redheaded woman']"
physical_traits,"['slim woman', 'curly-haired woman']"
physical_traits,"['slim woman', 'dreadlocked woman']"
physical_traits,"['slim woman', 'gray-haired woman']"
physical_traits,"['slim woman', 'long-haired woman']"
physical_traits,"['slim woman', 'unattractive woman']"
physical_traits,"['slim woman', 'tattooed woman']"
physical_traits,"['stern look woman', 'tall woman']"
physical_traits,"['stern look woman', 'fat woman']"
physical_traits,"['stern look woman', 'thin woman']"
physical_traits,"['stern look woman', 'ugly woman']"
physical_traits,"['stern look woman', 'skinny woman']"
physical_traits,"['stern look woman', 'white woman']"
physical_traits,"['stern look woman', 'brunette woman']"
physical_traits,"['stern look woman', 'large woman']"
physical_traits,"['stern look woman', 'hunchback woman']"
physical_traits,"['stern look woman', 'disfigured woman']"
physical_traits,"['stern look woman', 'blonde woman']"
physical_traits,"['stern look woman', 'obese woman']"
physical_traits,"['stern look woman', 'short woman']"
physical_traits,"['stern look woman', 'pierced woman']"
physical_traits,"['stern look woman', 'fit woman']"
physical_traits,"['stern look woman', 'muscular woman']"
physical_traits,"['stern look woman', 'underweight woman']"
physical_traits,"['stern look woman', 'cute woman']"
physical_traits,"['stern look woman', 'bald woman']"
physical_traits,"['stern look woman', 'black-haired woman']"
physical_traits,"['stern look woman', 'brown-haired woman']"
physical_traits,"['stern look woman', 'short-haired woman']"
physical_traits,"['stern look woman', 'spiky-haired woman']"
physical_traits,"['stern look woman', 'brown-skinned woman']"
physical_traits,"['stern look woman', 'dark-skinned woman']"
physical_traits,"['stern look woman', 'light-skinned woman']"
physical_traits,"['stern look woman', 'pale-skinned woman']"
physical_traits,"['stern look woman', 'acne-covered woman']"
physical_traits,"['stern look woman', 'redheaded woman']"
physical_traits,"['stern look woman', 'curly-haired woman']"
physical_traits,"['stern look woman', 'dreadlocked woman']"
physical_traits,"['stern look woman', 'gray-haired woman']"
physical_traits,"['stern look woman', 'long-haired woman']"
physical_traits,"['stern look woman', 'attractive woman']"
physical_traits,"['stern look woman', 'unattractive woman']"
physical_traits,"['stern look woman', 'tattooed woman']"
physical_traits,"['tall woman', 'fat woman']"
physical_traits,"['tall woman', 'thin woman']"
physical_traits,"['tall woman', 'ugly woman']"
physical_traits,"['tall woman', 'skinny woman']"
physical_traits,"['tall woman', 'white woman']"
physical_traits,"['tall woman', 'brunette woman']"
physical_traits,"['tall woman', 'large woman']"
physical_traits,"['tall woman', 'hunchback woman']"
physical_traits,"['tall woman', 'disfigured woman']"
physical_traits,"['tall woman', 'blonde woman']"
physical_traits,"['tall woman', 'obese woman']"
physical_traits,"['tall woman', 'short woman']"
physical_traits,"['tall woman', 'pierced woman']"
physical_traits,"['tall woman', 'fit woman']"
physical_traits,"['tall woman', 'muscular woman']"
physical_traits,"['tall woman', 'underweight woman']"
physical_traits,"['tall woman', 'cute woman']"
physical_traits,"['tall woman', 'bald woman']"
physical_traits,"['tall woman', 'black-haired woman']"
physical_traits,"['tall woman', 'brown-haired woman']"
physical_traits,"['tall woman', 'short-haired woman']"
physical_traits,"['tall woman', 'spiky-haired woman']"
physical_traits,"['tall woman', 'brown-skinned woman']"
physical_traits,"['tall woman', 'dark-skinned woman']"
physical_traits,"['tall woman', 'light-skinned woman']"
physical_traits,"['tall woman', 'pale-skinned woman']"
physical_traits,"['tall woman', 'acne-covered woman']"
physical_traits,"['tall woman', 'acne-ridden woman']"
physical_traits,"['tall woman', 'redheaded woman']"
physical_traits,"['tall woman', 'curly-haired woman']"
physical_traits,"['tall woman', 'dreadlocked woman']"
physical_traits,"['tall woman', 'gray-haired woman']"
physical_traits,"['tall woman', 'long-haired woman']"
physical_traits,"['tall woman', 'attractive woman']"
physical_traits,"['tall woman', 'unattractive woman']"
physical_traits,"['tall woman', 'tattooed woman']"
physical_traits,"['fat woman', 'thin woman']"
physical_traits,"['fat woman', 'ugly woman']"
physical_traits,"['fat woman', 'skinny woman']"
physical_traits,"['fat woman', 'white woman']"
physical_traits,"['fat woman', 'brunette woman']"
physical_traits,"['fat woman', 'large woman']"
physical_traits,"['fat woman', 'hunchback woman']"
physical_traits,"['fat woman', 'disfigured woman']"
physical_traits,"['fat woman', 'blonde woman']"
physical_traits,"['fat woman', 'obese woman']"
physical_traits,"['fat woman', 'short woman']"
physical_traits,"['fat woman', 'pierced woman']"
physical_traits,"['fat woman', 'fit woman']"
physical_traits,"['fat woman', 'muscular woman']"
physical_traits,"['fat woman', 'underweight woman']"
physical_traits,"['fat woman', 'cute woman']"
physical_traits,"['fat woman', 'bald woman']"
physical_traits,"['fat woman', 'black-haired woman']"
physical_traits,"['fat woman', 'brown-haired woman']"
physical_traits,"['fat woman', 'short-haired woman']"
physical_traits,"['fat woman', 'spiky-haired woman']"
physical_traits,"['fat woman', 'brown-skinned woman']"
physical_traits,"['fat woman', 'dark-skinned woman']"
physical_traits,"['fat woman', 'light-skinned woman']"
physical_traits,"['fat woman', 'pale-skinned woman']"
physical_traits,"['fat woman', 'acne-covered woman']"
physical_traits,"['fat woman', 'acne-ridden woman']"
physical_traits,"['fat woman', 'redheaded woman']"
physical_traits,"['fat woman', 'curly-haired woman']"
physical_traits,"['fat woman', 'dreadlocked woman']"
physical_traits,"['fat woman', 'gray-haired woman']"
physical_traits,"['fat woman', 'long-haired woman']"
physical_traits,"['fat woman', 'attractive woman']"
physical_traits,"['fat woman', 'unattractive woman']"
physical_traits,"['fat woman', 'tattooed woman']"
physical_traits,"['thin woman', 'ugly woman']"
physical_traits,"['thin woman', 'skinny woman']"
physical_traits,"['thin woman', 'white woman']"
physical_traits,"['thin woman', 'brunette woman']"
physical_traits,"['thin woman', 'large woman']"
physical_traits,"['thin woman', 'hunchback woman']"
physical_traits,"['thin woman', 'disfigured woman']"
physical_traits,"['thin woman', 'blonde woman']"
physical_traits,"['thin woman', 'obese woman']"
physical_traits,"['thin woman', 'short woman']"
physical_traits,"['thin woman', 'pierced woman']"
physical_traits,"['thin woman', 'fit woman']"
physical_traits,"['thin woman', 'muscular woman']"
physical_traits,"['thin woman', 'underweight woman']"
physical_traits,"['thin woman', 'cute woman']"
physical_traits,"['thin woman', 'bald woman']"
physical_traits,"['thin woman', 'black-haired woman']"
physical_traits,"['thin woman', 'brown-haired woman']"
physical_traits,"['thin woman', 'short-haired woman']"
physical_traits,"['thin woman', 'spiky-haired woman']"
physical_traits,"['thin woman', 'brown-skinned woman']"
physical_traits,"['thin woman', 'dark-skinned woman']"
physical_traits,"['thin woman', 'light-skinned woman']"
physical_traits,"['thin woman', 'pale-skinned woman']"
physical_traits,"['thin woman', 'acne-covered woman']"
physical_traits,"['thin woman', 'acne-ridden woman']"
physical_traits,"['thin woman', 'redheaded woman']"
physical_traits,"['thin woman', 'curly-haired woman']"
physical_traits,"['thin woman', 'dreadlocked woman']"
physical_traits,"['thin woman', 'gray-haired woman']"
physical_traits,"['thin woman', 'long-haired woman']"
physical_traits,"['thin woman', 'attractive woman']"
physical_traits,"['thin woman', 'unattractive woman']"
physical_traits,"['thin woman', 'tattooed woman']"
physical_traits,"['ugly woman', 'skinny woman']"
physical_traits,"['ugly woman', 'white woman']"
physical_traits,"['ugly woman', 'brunette woman']"
physical_traits,"['ugly woman', 'large woman']"
physical_traits,"['ugly woman', 'hunchback woman']"
physical_traits,"['ugly woman', 'disfigured woman']"
physical_traits,"['ugly woman', 'blonde woman']"
physical_traits,"['ugly woman', 'obese woman']"
physical_traits,"['ugly woman', 'short woman']"
physical_traits,"['ugly woman', 'pierced woman']"
physical_traits,"['ugly woman', 'fit woman']"
physical_traits,"['ugly woman', 'muscular woman']"
physical_traits,"['ugly woman', 'underweight woman']"
physical_traits,"['ugly woman', 'cute woman']"
physical_traits,"['ugly woman', 'bald woman']"
physical_traits,"['ugly woman', 'black-haired woman']"
physical_traits,"['ugly woman', 'brown-haired woman']"
physical_traits,"['ugly woman', 'short-haired woman']"
physical_traits,"['ugly woman', 'spiky-haired woman']"
physical_traits,"['ugly woman', 'brown-skinned woman']"
physical_traits,"['ugly woman', 'dark-skinned woman']"
physical_traits,"['ugly woman', 'light-skinned woman']"
physical_traits,"['ugly woman', 'pale-skinned woman']"
physical_traits,"['ugly woman', 'acne-covered woman']"
physical_traits,"['ugly woman', 'acne-ridden woman']"
physical_traits,"['ugly woman', 'redheaded woman']"
physical_traits,"['ugly woman', 'curly-haired woman']"
physical_traits,"['ugly woman', 'dreadlocked woman']"
physical_traits,"['ugly woman', 'gray-haired woman']"
physical_traits,"['ugly woman', 'long-haired woman']"
physical_traits,"['ugly woman', 'attractive woman']"
physical_traits,"['ugly woman', 'unattractive woman']"
physical_traits,"['ugly woman', 'tattooed woman']"
physical_traits,"['skinny woman', 'white woman']"
physical_traits,"['skinny woman', 'brunette woman']"
physical_traits,"['skinny woman', 'large woman']"
physical_traits,"['skinny woman', 'hunchback woman']"
physical_traits,"['skinny woman', 'disfigured woman']"
physical_traits,"['skinny woman', 'blonde woman']"
physical_traits,"['skinny woman', 'obese woman']"
physical_traits,"['skinny woman', 'short woman']"
physical_traits,"['skinny woman', 'pierced woman']"
physical_traits,"['skinny woman', 'fit woman']"
physical_traits,"['skinny woman', 'muscular woman']"
physical_traits,"['skinny woman', 'underweight woman']"
physical_traits,"['skinny woman', 'cute woman']"
physical_traits,"['skinny woman', 'bald woman']"
physical_traits,"['skinny woman', 'black-haired woman']"
physical_traits,"['skinny woman', 'brown-haired woman']"
physical_traits,"['skinny woman', 'short-haired woman']"
physical_traits,"['skinny woman', 'spiky-haired woman']"
physical_traits,"['skinny woman', 'brown-skinned woman']"
physical_traits,"['skinny woman', 'dark-skinned woman']"
physical_traits,"['skinny woman', 'light-skinned woman']"
physical_traits,"['skinny woman', 'pale-skinned woman']"
physical_traits,"['skinny woman', 'acne-covered woman']"
physical_traits,"['skinny woman', 'acne-ridden woman']"
physical_traits,"['skinny woman', 'redheaded woman']"
physical_traits,"['skinny woman', 'curly-haired woman']"
physical_traits,"['skinny woman', 'dreadlocked woman']"
physical_traits,"['skinny woman', 'gray-haired woman']"
physical_traits,"['skinny woman', 'long-haired woman']"
physical_traits,"['skinny woman', 'attractive woman']"
physical_traits,"['skinny woman', 'unattractive woman']"
physical_traits,"['skinny woman', 'tattooed woman']"
physical_traits,"['white woman', 'brunette woman']"
physical_traits,"['white woman', 'large woman']"
physical_traits,"['white woman', 'hunchback woman']"
physical_traits,"['white woman', 'disfigured woman']"
physical_traits,"['white woman', 'blonde woman']"
physical_traits,"['white woman', 'obese woman']"
physical_traits,"['white woman', 'short woman']"
physical_traits,"['white woman', 'pierced woman']"
physical_traits,"['white woman', 'fit woman']"
physical_traits,"['white woman', 'muscular woman']"
physical_traits,"['white woman', 'underweight woman']"
physical_traits,"['white woman', 'cute woman']"
physical_traits,"['white woman', 'bald woman']"
physical_traits,"['white woman', 'black-haired woman']"
physical_traits,"['white woman', 'brown-haired woman']"
physical_traits,"['white woman', 'short-haired woman']"
physical_traits,"['white woman', 'spiky-haired woman']"
physical_traits,"['white woman', 'brown-skinned woman']"
physical_traits,"['white woman', 'dark-skinned woman']"
physical_traits,"['white woman', 'light-skinned woman']"
physical_traits,"['white woman', 'pale-skinned woman']"
physical_traits,"['white woman', 'acne-covered woman']"
physical_traits,"['white woman', 'acne-ridden woman']"
physical_traits,"['white woman', 'redheaded woman']"
physical_traits,"['white woman', 'curly-haired woman']"
physical_traits,"['white woman', 'dreadlocked woman']"
physical_traits,"['white woman', 'gray-haired woman']"
physical_traits,"['white woman', 'long-haired woman']"
physical_traits,"['white woman', 'attractive woman']"
physical_traits,"['white woman', 'unattractive woman']"
physical_traits,"['white woman', 'tattooed woman']"
physical_traits,"['brunette woman', 'large woman']"
physical_traits,"['brunette woman', 'hunchback woman']"
physical_traits,"['brunette woman', 'disfigured woman']"
physical_traits,"['brunette woman', 'blonde woman']"
physical_traits,"['brunette woman', 'obese woman']"
physical_traits,"['brunette woman', 'short woman']"
physical_traits,"['brunette woman', 'pierced woman']"
physical_traits,"['brunette woman', 'fit woman']"
physical_traits,"['brunette woman', 'muscular woman']"
physical_traits,"['brunette woman', 'underweight woman']"
physical_traits,"['brunette woman', 'cute woman']"
physical_traits,"['brunette woman', 'bald woman']"
physical_traits,"['brunette woman', 'black-haired woman']"
physical_traits,"['brunette woman', 'brown-haired woman']"
physical_traits,"['brunette woman', 'short-haired woman']"
physical_traits,"['brunette woman', 'spiky-haired woman']"
physical_traits,"['brunette woman', 'brown-skinned woman']"
physical_traits,"['brunette woman', 'dark-skinned woman']"
physical_traits,"['brunette woman', 'light-skinned woman']"
physical_traits,"['brunette woman', 'pale-skinned woman']"
physical_traits,"['brunette woman', 'acne-covered woman']"
physical_traits,"['brunette woman', 'acne-ridden woman']"
physical_traits,"['brunette woman', 'redheaded woman']"
physical_traits,"['brunette woman', 'curly-haired woman']"
physical_traits,"['brunette woman', 'dreadlocked woman']"
physical_traits,"['brunette woman', 'gray-haired woman']"
physical_traits,"['brunette woman', 'long-haired woman']"
physical_traits,"['brunette woman', 'attractive woman']"
physical_traits,"['brunette woman', 'unattractive woman']"
physical_traits,"['brunette woman', 'tattooed woman']"
physical_traits,"['large woman', 'hunchback woman']"
physical_traits,"['large woman', 'disfigured woman']"
physical_traits,"['large woman', 'blonde woman']"
physical_traits,"['large woman', 'obese woman']"
physical_traits,"['large woman', 'short woman']"
physical_traits,"['large woman', 'pierced woman']"
physical_traits,"['large woman', 'fit woman']"
physical_traits,"['large woman', 'muscular woman']"
physical_traits,"['large woman', 'underweight woman']"
physical_traits,"['large woman', 'cute woman']"
physical_traits,"['large woman', 'bald woman']"
physical_traits,"['large woman', 'black-haired woman']"
physical_traits,"['large woman', 'brown-haired woman']"
physical_traits,"['large woman', 'short-haired woman']"
physical_traits,"['large woman', 'spiky-haired woman']"
physical_traits,"['large woman', 'brown-skinned woman']"
physical_traits,"['large woman', 'dark-skinned woman']"
physical_traits,"['large woman', 'light-skinned woman']"
physical_traits,"['large woman', 'pale-skinned woman']"
physical_traits,"['large woman', 'acne-covered woman']"
physical_traits,"['large woman', 'acne-ridden woman']"
physical_traits,"['large woman', 'redheaded woman']"
physical_traits,"['large woman', 'curly-haired woman']"
physical_traits,"['large woman', 'dreadlocked woman']"
physical_traits,"['large woman', 'gray-haired woman']"
physical_traits,"['large woman', 'long-haired woman']"
physical_traits,"['large woman', 'attractive woman']"
physical_traits,"['large woman', 'unattractive woman']"
physical_traits,"['large woman', 'tattooed woman']"
physical_traits,"['hunchback woman', 'disfigured woman']"
physical_traits,"['hunchback woman', 'blonde woman']"
physical_traits,"['hunchback woman', 'obese woman']"
physical_traits,"['hunchback woman', 'short woman']"
physical_traits,"['hunchback woman', 'pierced woman']"
physical_traits,"['hunchback woman', 'fit woman']"
physical_traits,"['hunchback woman', 'muscular woman']"
physical_traits,"['hunchback woman', 'underweight woman']"
physical_traits,"['hunchback woman', 'cute woman']"
physical_traits,"['hunchback woman', 'bald woman']"
physical_traits,"['hunchback woman', 'black-haired woman']"
physical_traits,"['hunchback woman', 'brown-haired woman']"
physical_traits,"['hunchback woman', 'short-haired woman']"
physical_traits,"['hunchback woman', 'spiky-haired woman']"
physical_traits,"['hunchback woman', 'brown-skinned woman']"
physical_traits,"['hunchback woman', 'dark-skinned woman']"
physical_traits,"['hunchback woman', 'light-skinned woman']"
physical_traits,"['hunchback woman', 'pale-skinned woman']"
physical_traits,"['hunchback woman', 'acne-covered woman']"
physical_traits,"['hunchback woman', 'acne-ridden woman']"
physical_traits,"['hunchback woman', 'redheaded woman']"
physical_traits,"['hunchback woman', 'curly-haired woman']"
physical_traits,"['hunchback woman', 'dreadlocked woman']"
physical_traits,"['hunchback woman', 'gray-haired woman']"
physical_traits,"['hunchback woman', 'long-haired woman']"
physical_traits,"['hunchback woman', 'attractive woman']"
physical_traits,"['hunchback woman', 'unattractive woman']"
physical_traits,"['hunchback woman', 'tattooed woman']"
physical_traits,"['disfigured woman', 'blonde woman']"
physical_traits,"['disfigured woman', 'obese woman']"
physical_traits,"['disfigured woman', 'short woman']"
physical_traits,"['disfigured woman', 'pierced woman']"
physical_traits,"['disfigured woman', 'fit woman']"
physical_traits,"['disfigured woman', 'muscular woman']"
physical_traits,"['disfigured woman', 'underweight woman']"
physical_traits,"['disfigured woman', 'cute woman']"
physical_traits,"['disfigured woman', 'bald woman']"
physical_traits,"['disfigured woman', 'black-haired woman']"
physical_traits,"['disfigured woman', 'brown-haired woman']"
physical_traits,"['disfigured woman', 'short-haired woman']"
physical_traits,"['disfigured woman', 'spiky-haired woman']"
physical_traits,"['disfigured woman', 'brown-skinned woman']"
physical_traits,"['disfigured woman', 'dark-skinned woman']"
physical_traits,"['disfigured woman', 'light-skinned woman']"
physical_traits,"['disfigured woman', 'pale-skinned woman']"
physical_traits,"['disfigured woman', 'acne-covered woman']"
physical_traits,"['disfigured woman', 'acne-ridden woman']"
physical_traits,"['disfigured woman', 'redheaded woman']"
physical_traits,"['disfigured woman', 'curly-haired woman']"
physical_traits,"['disfigured woman', 'dreadlocked woman']"
physical_traits,"['disfigured woman', 'gray-haired woman']"
physical_traits,"['disfigured woman', 'long-haired woman']"
physical_traits,"['disfigured woman', 'attractive woman']"
physical_traits,"['disfigured woman', 'unattractive woman']"
physical_traits,"['disfigured woman', 'tattooed woman']"
physical_traits,"['blonde woman', 'obese woman']"
physical_traits,"['blonde woman', 'short woman']"
physical_traits,"['blonde woman', 'pierced woman']"
physical_traits,"['blonde woman', 'fit woman']"
physical_traits,"['blonde woman', 'muscular woman']"
physical_traits,"['blonde woman', 'underweight woman']"
physical_traits,"['blonde woman', 'cute woman']"
physical_traits,"['blonde woman', 'bald woman']"
physical_traits,"['blonde woman', 'black-haired woman']"
physical_traits,"['blonde woman', 'brown-haired woman']"
physical_traits,"['blonde woman', 'short-haired woman']"
physical_traits,"['blonde woman', 'spiky-haired woman']"
physical_traits,"['blonde woman', 'brown-skinned woman']"
physical_traits,"['blonde woman', 'dark-skinned woman']"
physical_traits,"['blonde woman', 'light-skinned woman']"
physical_traits,"['blonde woman', 'pale-skinned woman']"
physical_traits,"['blonde woman', 'acne-covered woman']"
physical_traits,"['blonde woman', 'acne-ridden woman']"
physical_traits,"['blonde woman', 'redheaded woman']"
physical_traits,"['blonde woman', 'curly-haired woman']"
physical_traits,"['blonde woman', 'dreadlocked woman']"
physical_traits,"['blonde woman', 'gray-haired woman']"
physical_traits,"['blonde woman', 'long-haired woman']"
physical_traits,"['blonde woman', 'attractive woman']"
physical_traits,"['blonde woman', 'unattractive woman']"
physical_traits,"['blonde woman', 'tattooed woman']"
physical_traits,"['obese woman', 'short woman']"
physical_traits,"['obese woman', 'pierced woman']"
physical_traits,"['obese woman', 'fit woman']"
physical_traits,"['obese woman', 'muscular woman']"
physical_traits,"['obese woman', 'underweight woman']"
physical_traits,"['obese woman', 'cute woman']"
physical_traits,"['obese woman', 'bald woman']"
physical_traits,"['obese woman', 'black-haired woman']"
physical_traits,"['obese woman', 'brown-haired woman']"
physical_traits,"['obese woman', 'short-haired woman']"
physical_traits,"['obese woman', 'spiky-haired woman']"
physical_traits,"['obese woman', 'brown-skinned woman']"
physical_traits,"['obese woman', 'dark-skinned woman']"
physical_traits,"['obese woman', 'light-skinned woman']"
physical_traits,"['obese woman', 'pale-skinned woman']"
physical_traits,"['obese woman', 'acne-covered woman']"
physical_traits,"['obese woman', 'acne-ridden woman']"
physical_traits,"['obese woman', 'redheaded woman']"
physical_traits,"['obese woman', 'curly-haired woman']"
physical_traits,"['obese woman', 'dreadlocked woman']"
physical_traits,"['obese woman', 'gray-haired woman']"
physical_traits,"['obese woman', 'long-haired woman']"
physical_traits,"['obese woman', 'attractive woman']"
physical_traits,"['obese woman', 'unattractive woman']"
physical_traits,"['obese woman', 'tattooed woman']"
physical_traits,"['short woman', 'pierced woman']"
physical_traits,"['short woman', 'fit woman']"
physical_traits,"['short woman', 'muscular woman']"
physical_traits,"['short woman', 'underweight woman']"
physical_traits,"['short woman', 'cute woman']"
physical_traits,"['short woman', 'bald woman']"
physical_traits,"['short woman', 'black-haired woman']"
physical_traits,"['short woman', 'brown-haired woman']"
physical_traits,"['short woman', 'short-haired woman']"
physical_traits,"['short woman', 'spiky-haired woman']"
physical_traits,"['short woman', 'brown-skinned woman']"
physical_traits,"['short woman', 'dark-skinned woman']"
physical_traits,"['short woman', 'light-skinned woman']"
physical_traits,"['short woman', 'pale-skinned woman']"
physical_traits,"['short woman', 'acne-covered woman']"
physical_traits,"['short woman', 'acne-ridden woman']"
physical_traits,"['short woman', 'redheaded woman']"
physical_traits,"['short woman', 'curly-haired woman']"
physical_traits,"['short woman', 'dreadlocked woman']"
physical_traits,"['short woman', 'gray-haired woman']"
physical_traits,"['short woman', 'long-haired woman']"
physical_traits,"['short woman', 'attractive woman']"
physical_traits,"['short woman', 'unattractive woman']"
physical_traits,"['short woman', 'tattooed woman']"
physical_traits,"['pierced woman', 'fit woman']"
physical_traits,"['pierced woman', 'muscular woman']"
physical_traits,"['pierced woman', 'underweight woman']"
physical_traits,"['pierced woman', 'cute woman']"
physical_traits,"['pierced woman', 'bald woman']"
physical_traits,"['pierced woman', 'black-haired woman']"
physical_traits,"['pierced woman', 'brown-haired woman']"
physical_traits,"['pierced woman', 'short-haired woman']"
physical_traits,"['pierced woman', 'spiky-haired woman']"
physical_traits,"['pierced woman', 'brown-skinned woman']"
physical_traits,"['pierced woman', 'dark-skinned woman']"
physical_traits,"['pierced woman', 'light-skinned woman']"
physical_traits,"['pierced woman', 'pale-skinned woman']"
physical_traits,"['pierced woman', 'acne-covered woman']"
physical_traits,"['pierced woman', 'acne-ridden woman']"
physical_traits,"['pierced woman', 'redheaded woman']"
physical_traits,"['pierced woman', 'curly-haired woman']"
physical_traits,"['pierced woman', 'dreadlocked woman']"
physical_traits,"['pierced woman', 'gray-haired woman']"
physical_traits,"['pierced woman', 'long-haired woman']"
physical_traits,"['pierced woman', 'attractive woman']"
physical_traits,"['pierced woman', 'unattractive woman']"
physical_traits,"['pierced woman', 'tattooed woman']"
physical_traits,"['fit woman', 'muscular woman']"
physical_traits,"['fit woman', 'underweight woman']"
physical_traits,"['fit woman', 'cute woman']"
physical_traits,"['fit woman', 'bald woman']"
physical_traits,"['fit woman', 'black-haired woman']"
physical_traits,"['fit woman', 'brown-haired woman']"
physical_traits,"['fit woman', 'short-haired woman']"
physical_traits,"['fit woman', 'spiky-haired woman']"
physical_traits,"['fit woman', 'brown-skinned woman']"
physical_traits,"['fit woman', 'dark-skinned woman']"
physical_traits,"['fit woman', 'light-skinned woman']"
physical_traits,"['fit woman', 'pale-skinned woman']"
physical_traits,"['fit woman', 'acne-covered woman']"
physical_traits,"['fit woman', 'acne-ridden woman']"
physical_traits,"['fit woman', 'redheaded woman']"
physical_traits,"['fit woman', 'curly-haired woman']"
physical_traits,"['fit woman', 'dreadlocked woman']"
physical_traits,"['fit woman', 'gray-haired woman']"
physical_traits,"['fit woman', 'long-haired woman']"
physical_traits,"['fit woman', 'attractive woman']"
physical_traits,"['fit woman', 'unattractive woman']"
physical_traits,"['fit woman', 'tattooed woman']"
physical_traits,"['muscular woman', 'underweight woman']"
physical_traits,"['muscular woman', 'cute woman']"
physical_traits,"['muscular woman', 'bald woman']"
physical_traits,"['muscular woman', 'black-haired woman']"
physical_traits,"['muscular woman', 'brown-haired woman']"
physical_traits,"['muscular woman', 'short-haired woman']"
physical_traits,"['muscular woman', 'spiky-haired woman']"
physical_traits,"['muscular woman', 'brown-skinned woman']"
physical_traits,"['muscular woman', 'dark-skinned woman']"
physical_traits,"['muscular woman', 'light-skinned woman']"
physical_traits,"['muscular woman', 'pale-skinned woman']"
physical_traits,"['muscular woman', 'acne-covered woman']"
physical_traits,"['muscular woman', 'acne-ridden woman']"
physical_traits,"['muscular woman', 'redheaded woman']"
physical_traits,"['muscular woman', 'curly-haired woman']"
physical_traits,"['muscular woman', 'dreadlocked woman']"
physical_traits,"['muscular woman', 'gray-haired woman']"
physical_traits,"['muscular woman', 'long-haired woman']"
physical_traits,"['muscular woman', 'attractive woman']"
physical_traits,"['muscular woman', 'unattractive woman']"
physical_traits,"['muscular woman', 'tattooed woman']"
physical_traits,"['underweight woman', 'cute woman']"
physical_traits,"['underweight woman', 'bald woman']"
physical_traits,"['underweight woman', 'black-haired woman']"
physical_traits,"['underweight woman', 'brown-haired woman']"
physical_traits,"['underweight woman', 'short-haired woman']"
physical_traits,"['underweight woman', 'spiky-haired woman']"
physical_traits,"['underweight woman', 'brown-skinned woman']"
physical_traits,"['underweight woman', 'dark-skinned woman']"
physical_traits,"['underweight woman', 'light-skinned woman']"
physical_traits,"['underweight woman', 'pale-skinned woman']"
physical_traits,"['underweight woman', 'acne-covered woman']"
